question_id,question,reference,context,our_answer_wo_context,our_answer_w_context
164376040bde11eba7f7acde48001122,"What is the date of birth of Louis I, Count Of Nassau-Weilburg's father?",27 June 1441,"Count Louis I of Nassau-Weilburg (1473 – 28 May 1523) was a son of Count John III of Nassau-Weilburg and his wife, Elisabeth of Hesse. In 1492, Louis I succeeded his grandfather Philip II as Count of Nassau-Weilburg, because his father had already died in 1480. In 1502, Louis I married Margaret (1487-1548), a daughter of Adolf III of Nassau-Wiesbaden-Idstein. Louis and Margaret had the following children:
John III of Nassau-Weilburg (27 June 1441 – 15 July 1480) was count of Nassau-Weilburg as co-regent with his father. He came from the Walramian branch of the House of Nassau.","I am unable to verify the date of birth of Louis I, Count",1480
e6af07300bda11eba7f7acde48001122,Where was the place of death of the director of film Madame Lu?,Mülheim an der Ruhr,"Madame Lu or Madame Lu, the Woman for Discreet Advice (German: Madame Lu, die Frau für diskrete Beratung) is a 1929 German silent film directed by Franz Hofer and starring Ida Wüst, Gerdi Gerdt and Hans Mierendorff. The film's art direction was by Leopold Blonder.
Franz Hofer (November 27, 1902 in Bad Hofgastein – February 18, 1975 in Mülheim an der Ruhr) was, in the time of the Third Reich, the Nazi Gauleiter of the Tyrol and Vorarlberg. As the Nazi party chief for the Tirol/Vorarlberg province he was the most powerful figure in the region. As the area's supreme Nazi, Hofer dealt directly with Hitler or with the Führer's deputy, Martin Bormann. Hofer was not only the party chief but the Reichskommissar in charge of the Tirol-Vorarlberg defences. His region embraced much of the suspected National Redoubt. Indeed, Hofer might well be considered the father of the Redoubt. Born to a Bad Hofgastein hotelkeeper, Hofer went to the Volksschule-Realschule in Innsbruck and in 1922 began a career as a freelance salesman. In September 1931, he joined the NSDAP. He very quickly rose in the Party, becoming District Leader in April 1932, and in July of the same year acting Gauleiter of the Tyrol. Only four months later, on 27 November 1932 – Hofer's thirtieth birthday – he was promoted to Gauleiter of the Tyrol. For his activities in the Nazi Party, which was banned in Austria, Hofer was arrested in June 1933 and sentenced by a Tyrolean court to two years in prison. On 30 August 1933, 4 armed SA men broke into Hofer's prison cell by force and freed him. He fled the prison amid gunfire, which wounded him. He made it to Italy, and only a few weeks later gave a speech at the Nuremberg Party Congress from his stretcher. In early 1937, having recovered from his gunshot wounds, Hofer became leader of the ""Leaders' and Members' Political Gathering Place for Austrians in Germany"", with a job in Berlin. After the Anschluss, he was once again appointed the Gauleiter of the Tyrol and Vorarlberg. In the same year, he was given the function of ministerial adviser and the rank of NSKK Obergruppenführer. On 1 September 1940 he was furthermore made the governor (""Reichsstatthalter"") of the ""Reichsgau"" of Tyrol-Vorarlberg. After Italy forsook the Axis Powers, Hofer was chosen on 10 September 1943 to be the Supreme Commissar in the Operation Zone of the Alpine Foothills (consisting of the neighbouring Italian provinces of Belluno, South Tyrol and Trentino joined to his own Reichsgau of Tyrol-Vorarlberg). Gauleiter Hofer was an accomplished marksman who often competed in regional and national shooting matches. In 1944 Hofer won a shooting competition in the city of Bolzano, qualifying him for the national competition which was held in Innsbruck that year. Using a specially crafted 22 cal Mauser rifle (serial #300354) Hofer finished 7th. In November 1944, Hofer suggested in a memorandum to Adolf Hitler that an Alpenfestung (""Alpine Fortress"") ought to be built up in the heart of the Alps as Nazi Germany's last bastion. Apparently Hitler's secretary Martin Bormann only brought this document to the Führer's attention early the next year. Hofer had a personal audience with Hitler in late January 1945. ' Hofer reminded the German leader that the Allies dreaded the thought of continued fighting from an Alpenfestung. Considering the fact that the Ardennes Offensive had failed, Hitler was receptive to such an idea. The German leader authorized preparations to fortify the Alps. 'Hofer and his team actually started work on this in mid-February. Hofer was called to Hitler's Berlin bunker again on 12 April 1945 to discuss further his proposal. Hitler – 18 days before his own suicide and still convinced that his ""Endsieg"" was possible – again approved Hofer's ongoing plan and appointed him Reich Defence Commissar of the ""Alpenfestung"". On May 3, 1945 Hofer surrendered to American troops. This surrender was achieved by OSS agent Frederick Mayer. It was not long before Hofer's freedom was curtailed. On 6 May 1945, he was arrested by the United States Army in Hall in Tirol and held in an internment camp. In 1948, he managed to flee to Germany, where he continued his former trade as a salesman in Mülheim, in the end under his true name. In Austria in June 1949, Hofer was sentenced to death ""in absentia"". In July 1953, a Munich appeal court upheld a sentence of 3 years and 5 months in labour prison. When interviewed by the press during this time, Hofer made it known he was unrepentant about his National Socialist convictions. In 1964, a lawsuit brought by Hofer's children for the return of ownership of the ""Lachhof bei Hall"" where their father had lived while he was the Gauleiter, was dismissed by an Austrian court. Hofer spent his later years in Mülheim an der Ruhr with his wife and seven children, continued his former trade as a salesman and died a natural death on February 18, 1975, under his real name.","I couldn't find any information about a film called ""Madame Lu",Mülheim an der Ruhr.
d3c779240bdd11eba7f7acde48001122,Where was the place of burial of John Coleman Burroughs's father?,Tarzana,"Edgar Rice Burroughs (September 1, 1875 – March 19, 1950) was an American fiction writer best known for his celebrated and prolific output in the adventure and science-fiction genres. Among the most notable of his creations are the jungle hero Tarzan, the heroic Mars adventurer John Carter, and the fictional landmass within Earth known as Pellucidar. Burroughs' California ranch is now the center of the Tarzana neighborhood in Los Angeles.
John Coleman ""Jack"" Burroughs (28 February 1913 – 22 February 1979) was an American illustrator known for his illustrations of the works of his father, Edgar Rice Burroughs.",I don't have information about John Coleman Burroughs's father.,I do not know.
5f520cea0bdc11eba7f7acde48001122,When is the director of film Cooley High 's birthday?,"November 10, 1938","Cooley High is a 1975 American coming-of-age comedy-drama film that follows the narrative of high school seniors and best friends, Leroy ""Preach"" Jackson (Glynn Turman) and Richard ""Cochise"" Morris (Lawrence Hilton-Jacobs). Written by Eric Monte, directed by Michael Schultz and produced by American International Pictures (AIP), the film, primarily shot in Chicago, Illinois, was a major hit at the box offices, grossing over $13,000,000 (USD). The light-hearted turned tragic storyline captivated viewers with its comedic portrayal of carefree best friends, and its soundtrack featured many Motown hits.
Michael Schultz (born November 10, 1938) is an American director and producer of film and television.",Michael Schultz,"Michael Schultz' birthday is November 10, 1938."
43af97b20bde11eba7f7acde48001122,Where was the father of Jelena Lieven born?,Moscow,"Alexander Friedrich Fürst von Lieven (Alexander Karlovich Liven; 1801–1880) was a Baltic German infantry-general and senator. Alexander von Lieven was born on January 14, 1801, into an ancient noble family of Lieven. He received a good education at home and in 1818 enrolled into the Life Guards Grenadeer regiment and in 1820 was promoted to the rank of lieutenant . Four years later, in 1824, Lieven was transferred into the Moscow regiment and was promoted to the rank of aide-de-camp to the Emperor Nicholas I of Russia. During the campaign of the Russo-Turkish War, 1828–1829, Alexander Lieven participated in the siege of Varna. In 1831, during the November Uprising, his regiment was sent to subdue the rebels in the Congress Poland, and took part in the siege of Warsaw and Modlin Fortress. In 1832, after the war was over he was promoted to the rank of colonel and transferred into the Leib Guards of Preobrazhensky regiment. In 1838, he was made aide-de-camp to the commander of the 5th Infantry Corps, Lieutenant-General Anders, in 1842 Lieven was promoted to the rank of mayor-general and received the position of the second commander of Sevastopol. In 1844–1853 Lieven was Governor of Taganrog. In 1853, Lieven was promoted to the rank of lieutenant-general and was made senator. In 1857 he was appointed Chairman of the Inspection Committee  in Moscow. In 1861 he was appointed full member of the Imperial Philanthropic Society  and president of its Moscow-based committee. Lieven was promoted to the rank of the infantry general in 1875, keeping his senator's title. He died on February 17, 1880.
Jelena Lieven (1842–1917), was an Imperial Russian pedagogue. She was the principal of the Smolny Institute in Saint Petersburg in 1895–1917. Daughter of Alexander Lieven. Jelena Lieven was not formally educated but received a very high level of education through Autodidacticism. She was early active with her mother as a philanthropist. She never married, and after having received a very small inheritance after her father's death in 1880 she asked the Imperial family for a position. She was made manager of the home for the orphans of officers and in 1895 as principal for the Smolny Institute. She reformed the hygiene, introduced electricity (1909), granted the students leaser time by cutting their study time by half, gave craftsmanship and physical education a greater role and made a fund for the support of former students after graduation (1898). She died during the Russian Revolution, and the students of the institute was evacuated.",I don't have information on the father of Jelena Lieven,Baltic region.
1c7eb2640bb011ebab90acde48001122,"Who is the paternal grandmother of Sophie, Countess Of Bar?",Richilde,"Sophie of Bar (c. 1004 or 1018 – January 21 or June 21, 1093) was sovereign Count of Bar and lady of Mousson between 1033 and 1093. She succeeded her brother, Frederick III, Duke of Upper Lorraine, ruled in co-regency with her spouse Louis, Count of Montbéliard, and was succeeded by her son Frederick of Montbéliard.
Frederick II (c. 995–1026), son of Thierry I of the House of Ardennes and Richilde von Blieskastel, daughter of Folmar III, Count in Bliesgau; was the count of Bar and duke of Lorraine, co-reigning with his father from 1019. On the Emperor Henry II's death in 1024, he joined Ernest II, Duke of Swabia, in revolt against the new king, Conrad II. Soon they made peace and recognised the new king. Frederick died soon after. He married Matilda of Swabia, daughter of Herman II, Duke of Swabia, and sister-in-law of Conrad. They had three children:",I don't have information on the Countess of Bar.,Richilde von Blieskastel.
d03d0a34086411ebbd5eac1f6bf848b6,"Which film has the director who died first, Hell'S House or Muqaddar Ka Faisla?",Hell'S House,"Hell's House is a 1932 American Pre -Code drama film starring Junior Durkin, featuring Bette Davis and directed by Howard Higgin. The screenplay by Paul Gangelin and B. Harrison Orkow, set during the waning days of the Prohibition era, is based on a story by Higgin.
Prakash Mehra( 13 July 1939 – 17 May 2009) was an Indian film director and producer known for his blockbuster Hindi films. He was one of the pioneers of masala films, along with Nasir Hussain, and Manmohan Desai. His collaborations with the actor Amitabh Bachchan resulted in several box office blockbusters and classics, due to which Mehra was considered among the' Golden Directors' of his time.
Muqaddar Ka Faisla is a 1987 Indian Bollywood film directed by Prakash Mehra and produced by Yash Johar. It stars Raaj Kumar, Raakhee, Raj Babbar, Meenakshi Seshadri, Tina Munim and Pran in pivotal roles.
Howard Higgin (February 15, 1891 - December 16, 1938) was an American writer and director of motion pictures in the 1920s and 1930s. Higgin was production manager on Cecil De Mille's ""Forbidden Fruit""(1921).Higgin's first directing job was a 1922 comedy for legendary Wallace Reid, ""Rent Free"". His later films include ""High Voltage"" and ""Skyscraper"", and he worked with Wallace Beery, Clark Gable (as writer/director of Gable's screen breakthrough role as the unshaven villain in ""The Painted Desert""), Carole Lombard, Bette Davis (in ""Hell's House""), Pat O'Brien, Alan Hale, Sr., Blanche Sweet, Basil Rathbone, Robert Armstrong and Mae Clarke, among many others. Higgins' movie career spanned 18 years, having begun working on film crews in 1919. He died in Los Angeles at age 47.","I couldn't find any information on the films ""Hell'S House""",Howard Higgin died first.
fa135f6208db11ebbd9cac1f6bf848b6,"Which film whose director was born first, Weird Woman or Secret Strings?",Secret Strings,"Reginald Le Borg( 11 December 1902 – 25 March 1989) was an Austrian film director. He was born in Vienna, Austria as Reginald Grobel and directed 68 films between 1936 and 1974. Although he worked in a variety of genres, he is perhaps best remembered today for the series of low- budget horror films he made at Universal Studios in the 1940s. His most expensive and also most successful film was"" San Diego, I Love You""( 1944) featuring Buster Keaton in a supporting role. Le Borg died in Los Angeles, California from a heart attack.
Secret Strings is a lost 1918 American silent crime drama film produced and distributed by Metro Pictures. Olive Tell, a stage actress, starred in the story based on a play by Kate Jordan. John Ince directed.
Weird Woman is a 1944 Inner Sanctum film noir mystery and horror film directed by Reginald Le Borg and starring Lon Chaney Jr., Anne Gwynne, and Evelyn Ankers. The"" Inner Sanctum"" franchise originated with a popular radio series and all of the films star Chaney Jr. The film is one of several films based on the novel"" Conjure Wife"" by Fritz Leiber, the others include"" Night of the Eagle""( 1962) and"" Witches' Brew""( 1980). Co- star Evelyn Ankers had previously worked with Chaney in"" Ghost of Frankenstein,"" when Chaney played the monster, and"" The Wolf Man"", when Chaney played the wolf man.
John Ince, also known as John E. Ince,( August 29, 1878 – April 10, 1947) was an American stage and motion pictures actor, a film director, and the eldest brother of Thomas H. Ince and Ralph Ince. A leading man from the early 1910s, he also directed and scripted several of his own vehicles. Concentrating almost exclusively on directing from 1915 through 1928, Ince returned before the cameras as a character actor in the early years of the talkies.","I couldn't find any information on films ""Weird Woman"" or",John Ince was born first.
a8e033ae0bdd11eba7f7acde48001122,What is the place of birth of the director of film Cristina (Film)?,Buenos Aires,"Cristina is a 1946 Argentine comedy-drama film directed by Francisco Múgica and starring Zully Moreno, Esteban Serrador and Alberto Closas.
Francisco Múgica (born 10 April 1907 in Buenos Aires, died in Buenos Aires in 1985) was an Argentine film director, film editor and cinematographer. Múgica initially began his career in film as a cinematographer in the mid-1930s but by 1939 he had become a film director directing his first film ""El Solterón"" early that year followed by the highly successful comedy ""Así es la vida"". He directed some 25 films including the 1942 film ""Adolescencia"". He retired from film in 1962.","I don't have information about a film called ""Cristina"".",Buenos Aires.
ec9d3827084f11ebbd56ac1f6bf848b6,Are Unalaska Airport and Cape Sabine Dew Line Station both located in the same country?,yes,"Cape Sabine DEW Line Station was a public-use airport is a closed United States Air Force facility. It was formerly a Distant Early Warning Line Intermediate type radar station. It was closed in 1963 and has been abandoned ever since. Title to the property has been transferred from the Air Force to the Cully Corporation.
Tom Madsen( Dutch Harbor) Airport is a state owned, public use airport in City of Unalaska, on Amaknak Island in the Aleutian Islands, off the coast of the U.S. state of Alaska. It is located near the Bering Sea coast of Unalaska Island, southwest of Anchorage and from Seattle. The official name of the City of Unalaska's port is Dutch Harbor. That name is also applied to the portion of Unalaska on Amaknak Island, which is located across a bridge from the rest of the city on Unalaska Island. Therefore, the airport is sometimes referred to as Dutch Harbor Airport. In 2002, the State of Alaska renamed it Tom Madsen Airport in honor of Charles Thomas Madsen Sr., a bush pilot who was killed in an airplane accident that year. However, the Federal Aviation Administration still refers to it as Unalaska Airport. Scheduled commercial airline service is provided by PenAir, a code share partner of Alaska Airlines. At one point Alaska Airlines operated Boeing 737- 200 Combi jetliners to the airport with these aircraft transporting a combination of passengers and freight on the main deck of the aircraft. However, due to load restrictions as a result of the short runway as well as cancellations due to weather, Alaska Airlines then contracted the service via a code sharing arrangement to PenAir in 2004. PenAir currently operates Saab 340 and Saab 2000 regional turboprop aircraft into the airport. AirPac also previously served the airport with British Aerospace BAe 146-100 jets with this aircraft type having enhanced short runway takeoff and landing performance. The airfield runway is 4,100 feet long which is quite short for jet operations when compared with typical runways normally used by mainline jet aircraft. Other airlines that served the airport in the past included MarkAir operating Boeing 737- 200 Combi jet aircraft and Reeve Aleutian Airways flying Lockheed L- 188 Electra turboprops via a code sharing agreement with Alaska Airlines. As per Federal Aviation Administration records, the airport had 28,234 passenger boardings( enplanements) in calendar year 2008, 26,705 enplanements in 2009, and 26,711 in 2010. It is included in the National Plan of Integrated Airport Systems for 2011– 2015, which categorized it as a"" primary commercial service"" airport( more than 10,000 enplanements per year).","Yes, United States.","No, they are not."
