question,golden_answer,context,our_answer_wo_context,our_answer_w_context
What is the name of an ancient Greek work impacting botany?,De Materia Medica,"Another work from Ancient Greece that made an early impact on botany is De Materia Medica, a five-volume encyclopedia about herbal medicine written in the middle of the first century by Greek physician and pharmacologist Pedanius Dioscorides. De Materia Medica was widely read for more than 1,500 years. Important contributions from the medieval Muslim world include Ibn Wahshiyya's Nabatean Agriculture, Abū Ḥanīfa Dīnawarī's (828–896) the Book of Plants, and Ibn Bassal's The Classification of Soils. In the early 13th century, Abu al-Abbas al-Nabati, and Ibn al-Baitar (d. 1248) wrote on botany in a systematic and scientific manner.","Theophrastus' ""Enquiry into Plants""",De Materia Medica.
"Most U.S law, the kind of law we live everyday, consists of what kind of law?",state law,"Federal law and treaties, so long as they are in accordance with the Constitution, preempt conflicting state and territorial laws in the 50 U.S. states and in the territories. However, the scope of federal preemption is limited because the scope of federal power is not universal. In the dual-sovereign system of American federalism (actually tripartite because of the presence of Indian reservations), states are the plenary sovereigns, each with their own constitution, while the federal sovereign possesses only the limited supreme authority enumerated in the Constitution. Indeed, states may grant their citizens broader rights than the federal Constitution as long as they do not infringe on any federal constitutional rights. Thus, most U.S. law (especially the actual ""living law"" of contract, tort, property, criminal, and family law experienced by the majority of citizens on a day-to-day basis) consists primarily of state law, which can and does vary greatly from one state to the next.",Common law.,State law.
In what novel was The Times featured as an organ of a totalitarian ruling party?,Nineteen Eighty-Four,"In the dystopian future world of George Orwell's Nineteen Eighty-Four, The Times has been transformed into the organ of the totalitarian ruling party, its editorials—of which several are quoted in the book—reflecting Big Brother's pronouncements.",1984 by George Orwell,Nineteen Eighty-Four.
When was the citizenship laws placed into effect in Burma ?,1982,"The Rohingya people have consistently faced human rights abuses by the Burmese regime that has refused to acknowledge them as Burmese citizens (despite some of them having lived in Burma for over three generations)—the Rohingya have been denied Burmese citizenship since the enactment of a 1982 citizenship law. The law created three categories of citizenship: citizenship, associate citizenship, and naturalised citizenship. Citizenship is given to those who belong to one of the national races such as Kachin, Kayah (Karenni), Karen, Chin, Burman, Mon, Rakhine, Shan, Kaman, or Zerbadee. Associate citizenship is given to those who cannot prove their ancestors settled in Myanmar before 1823, but can prove they have one grandparent, or pre-1823 ancestor, who was a citizen of another country, as well as people who applied for citizenship in 1948 and qualified then by those laws. Naturalized citizenship is only given to those who have at least one parent with one of these types of Burmese citizenship or can provide ""conclusive evidence"" that their parents entered and resided in Burma prior to independence in 1948. The Burmese regime has attempted to forcibly expel Rohingya and bring in non-Rohingyas to replace them—this policy has resulted in the expulsion of approximately half of the 800,000 Rohingya from Burma, while the Rohingya people have been described as ""among the world's least wanted"" and ""one of the world's most persecuted minorities."" But the origin of ‘most persecuted minority’ statement is unclear.",British Burma Citizenship Act 1948,The 1982 citizenship law.
What do they want to impliment in 2016?,a 12-year system,"Public education in Tajikistan consists of 11 years of primary and secondary education but the government has plans to implement a 12-year system in 2016. There is a relatively large number of tertiary education institutions including Khujand State University which has 76 departments in 15 faculties, Tajikistan State University of Law, Business, & Politics, Khorugh State University, Agricultural University of Tajikistan, Tajik State National University, and several other institutions. Most, but not all, universities were established during the Soviet Era. As of 2008[update] tertiary education enrollment was 17%, significantly below the sub-regional average of 37%. Many Tajiks left the education system due to low demand in the labor market for people with extensive educational training or professional skills.",What do you want to know about 2016?,A 12-year system.
How many times have the Seattle Seahawks played in the World Series?,three,"The Seahawks' CenturyLink Field has hosted NFL playoff games in 2006, 2008, 2011, 2014 and 2015. The Seahawks have advanced to the Super Bowl three times: 2005, 2013 and 2014. They defeated the Denver Broncos 43-8 to win their first Super Bowl championship in Super Bowl XLVIII, but lost 24-28 against the New England Patriots in Super Bowl XLIX. Seattle Sounders FC has played in Major League Soccer since 2009, sharing CenturyLink Field with the Seahawks, as a continuation of earlier teams in the lower divisions of American soccer. The Sounders have not won the MLS Cup but have, however, won the MLS Supporters' Shield in 2014 and the Lamar Hunt U.S. Open Cup on four occasions: 2009, 2010, 2011, and 2014.",The Seattle Seahawks are a football team.,I do not know.
Is ultramicrobacteria is well examined?,not well-studied,"Bacteria display a wide diversity of shapes and sizes, called morphologies. Bacterial cells are about one-tenth the size of eukaryotic cells and are typically 0.5–5.0 micrometres in length. However, a few species are visible to the unaided eye — for example, Thiomargarita namibiensis is up to half a millimetre long and Epulopiscium fishelsoni reaches 0.7 mm. Among the smallest bacteria are members of the genus Mycoplasma, which measure only 0.3 micrometres, as small as the largest viruses. Some bacteria may be even smaller, but these ultramicrobacteria are not well-studied.",Ultramicrobacteria is a term used to describe extremely small bacteria.,"No, not well-studied."
What is a large domain of prokaryotic microorganisms?,Bacteria,"Bacteria (i/bækˈtɪəriə/; singular: bacterium) constitute a large domain of prokaryotic microorganisms. Typically a few micrometres in length, bacteria have a number of shapes, ranging from spheres to rods and spirals. Bacteria were among the first life forms to appear on Earth, and are present in most of its habitats. Bacteria inhabit soil, water, acidic hot springs, radioactive waste, and the deep portions of Earth's crust. Bacteria also live in symbiotic and parasitic relationships with plants and animals. They are also known to have flourished in manned spacecraft.",Proteobacteria,Bacteria constitute a large domain of prokaryotic microorganisms.
In what city can KU's hospital be found?,Kansas City,"The university's Medical Center and University Hospital are located in Kansas City, Kansas. The Edwards Campus is in Overland Park, Kansas, in the Kansas City metropolitan area. There are also educational and research sites in Parsons and Topeka, and branches of the University of Kansas School of Medicine in Wichita and Salina. The university is one of the 62 members of the Association of American Universities.","Lawrence, Kansas","Kansas City, Kansas."
Who orchestrated Chopiniana?,Alexander Glazunov.,"Chopin's music was used in the 1909 ballet Chopiniana, choreographed by Michel Fokine and orchestrated by Alexander Glazunov. Sergei Diaghilev commissioned additional orchestrations—from Stravinsky, Anatoly Lyadov, Sergei Taneyev and Nikolai Tcherepnin—for later productions, which used the title Les Sylphides.",Frédéric Chopin,Alexander Glazunov.
A mammal's brain is how many times larger than a reptiles relative to body size?,ten times,"The most obvious difference between the brains of mammals and other vertebrates is in terms of size. On average, a mammal has a brain roughly twice as large as that of a bird of the same body size, and ten times as large as that of a reptile of the same body size.",Mammals 7-10 times,Ten times larger.
What two types of arguments did Locke say there are?,demonstrative and probable,"The Scottish philosopher David Hume (1711–1776) responded to Berkeley's criticisms of Locke, as well as other differences between early modern philosophers, and moved empiricism to a new level of skepticism. Hume argued in keeping with the empiricist view that all knowledge derives from sense experience, but he accepted that this has implications not normally acceptable to philosophers. He wrote for example, ""Locke divides all arguments into demonstrative and probable. On this view, we must say that it is only probable that all men must die or that the sun will rise to-morrow, because neither of these can be demonstrated. But to conform our language more to common use, we ought to divide arguments into demonstrations, proofs, and probabilities—by ‘proofs’ meaning arguments from experience that leave no room for doubt or opposition."" And,","Two types of arguments: 

1. Formal
2. Informal",Locke divided arguments into demonstrative and probable.
What was Whitehead's last position before he traveled to America?,chairman of the Senate's Academic (leadership) Council,"In 1918 Whitehead's academic responsibilities began to seriously expand as he accepted a number of high administrative positions within the University of London system, of which Imperial College London was a member at the time. He was elected Dean of the Faculty of Science at the University of London in late 1918 (a post he held for four years), a member of the University of London's Senate in 1919, and chairman of the Senate's Academic (leadership) Council in 1920, a post which he held until he departed for America in 1924. Whitehead was able to exert his newfound influence to successfully lobby for a new history of science department, help establish a Bachelor of Science degree (previously only Bachelor of Arts degrees had been offered), and make the school more accessible to less wealthy students.",I don't have information on who Whitehead is.,Chairman of the Senate's Academic Council.
How many Independence Day celebrations does Seattle have yearly?,two,"Among Seattle's prominent annual fairs and festivals are the 24-day Seattle International Film Festival, Northwest Folklife over the Memorial Day weekend, numerous Seafair events throughout July and August (ranging from a Bon Odori celebration to the Seafair Cup hydroplane races), the Bite of Seattle, one of the largest Gay Pride festivals in the United States, and the art and music festival Bumbershoot, which programs music as well as other art and entertainment over the Labor Day weekend. All are typically attended by 100,000 people annually, as are the Seattle Hempfest and two separate Independence Day celebrations.","I couldn't find any information about a specific ""Independence Day"" celebration in Seattle.",Two.
"Which two ""Big Four"" clubs did not finish in the top four in the 2011-12 season?",That season also saw two of the Big Four (Chelsea and Liverpool) finish outside the top four,"The years following 2009 marked a shift in the structure of the ""Big Four"" with Tottenham Hotspur and Manchester City both breaking into the top four. In the 2009–10 season, Tottenham finished fourth and became the first team to break the top four since Everton in 2005. Criticism of the gap between an elite group of ""super clubs"" and the majority of the Premier League has continued, nevertheless, due to their increasing ability to spend more than the other Premier League clubs. Manchester City won the title in the 2011–12 season, becoming the first club outside the ""Big Four"" to win since 1994–95. That season also saw two of the Big Four (Chelsea and Liverpool) finish outside the top four places for the first time since 1994–95.","Arsenal, Fulham",Chelsea and Liverpool.
What law placed gin shops under the control of local magistrates?,The Gin Act 1751,The drunkenness and lawlessness created by gin was seen to lead to ruination and degradation of the working classes. The distinction[clarification needed] was illustrated by William Hogarth in his engravings Beer Street and Gin Lane. The Gin Act 1736 imposed high taxes on retailers and led to riots in the streets. The prohibitive duty was gradually reduced and finally abolished in 1742. The Gin Act 1751 however was more successful. It forced distillers to sell only to licensed retailers and brought gin shops under the jurisdiction of local magistrates.,The Gin Act 1690.,The Gin Act 1751.
Which historian says this opinion is indefensible?,David Henige,"Colin Humphreys and W. G. Waddington of Oxford University considered the possibility that a lunar, rather than solar, eclipse might have taken place. They concluded that such an eclipse would have been visible, for thirty minutes, from Jerusalem and suggested the gospel reference to a solar eclipse was the result of a scribe wrongly amending a text. Historian David Henige dismisses this explanation as 'indefensible' and astronomer Bradley Schaefer points out that the lunar eclipse would not have been visible during daylight hours.",I'm ready to assist. What is the opinion you'd like to know about?,Historian David Henige.
What was Queen Victoria called in Ireland during the Great Famine? ,The Famine Queen,"In 1845, Ireland was hit by a potato blight. In the next four years over a million Irish people died and another million emigrated in what became known as the Great Famine. In Ireland, Victoria was labelled ""The Famine Queen"". She personally donated £2,000 to famine relief, more than any other individual donor, and also supported the Maynooth Grant to a Roman Catholic seminary in Ireland, despite Protestant opposition. The story that she donated only £5 in aid to the Irish, and on the same day gave the same amount to Battersea Dogs Home, was a myth generated towards the end of the 19th century.","""The Great Famine""","""The Famine Queen"""
How many signatures were collected supporting public health rights?,"250,000","In March 2001, 40 multi-national pharmaceutical companies brought litigation against South Africa for its Medicines Act, which allowed the generic production of antiretroviral drugs (ARVs) for treating HIV, despite the fact that these drugs were on-patent. HIV was and is an epidemic in South Africa, and ARVs at the time cost between 10,000 and 15,000 USD per patient per year. This was unaffordable for most South African citizens, and so the South African government committed to providing ARVs at prices closer to what people could afford. To do so, they would need to ignore the patents on drugs and produce generics within the country (using a compulsory license), or import them from abroad. After international protest in favour of public health rights (including the collection of 250,000 signatures by MSF), the governments of several developed countries (including The Netherlands, Germany, France, and later the US) backed the South African government, and the case was dropped in April of that year.",I don't have information on the number of signatures collected supporting public health rights.,"250,000 signatures."
How long ago does oldest know fossil date back to?,160 million years ago,"The oldest known fossil among the Eutheria (""true beasts"") is the small shrewlike Juramaia sinensis, or ""Jurassic mother from China"", dated to 160 million years ago in the Late Jurassic. A later eutherian, Eomaia, dated to 125 million years ago in the Early Cretaceous, possessed some features in common with the marsupials but not with the placentals, evidence that these features were present in the last common ancestor of the two groups but were later lost in the placental lineage. In particular:",Oldest known fossil: 3.46 billion years,160 million years ago.
The Treaty of Locarno guarantees each signatory against what from another signatory?,attack,"A multilateral treaty is concluded among several countries. The agreement establishes rights and obligations between each party and every other party. Multilateral treaties are often regional.[citation needed] Treaties of ""mutual guarantee"" are international compacts, e.g., the Treaty of Locarno which guarantees each signatory against attack from another.",Territorial adjustments.,attack from another signatory.
Glam metal band Steel Panther is from what city?,Los Angeles,"The term ""retro-metal"" has been applied to such bands as Texas based The Sword, California's High on Fire, Sweden's Witchcraft and Australia's Wolfmother. Wolfmother's self-titled 2005 debut album combined elements of the sounds of Deep Purple and Led Zeppelin. Fellow Australians Airbourne's début album Runnin' Wild (2007) followed in the hard riffing tradition of AC/DC. England's The Darkness' Permission to Land (2003), described as an ""eerily realistic simulation of '80s metal and '70s glam"", topped the UK charts, going quintuple platinum. The follow-up, One Way Ticket to Hell... and Back (2005), reached number 11, before the band broke up in 2006. Los Angeles band Steel Panther managed to gain a following by sending up 80s glam metal. A more serious attempt to revive glam metal was made by bands of the sleaze metal movement in Sweden, including Vains of Jenna, Hardcore Superstar and Crashdïet.",Los Angeles,Los Angeles.
What did Blockbuster do instead of use copyrighted instruction booklets?,produced their own short instructions,"As the Nintendo Entertainment System grew in popularity and entered millions of American homes, some small video rental shops began buying their own copies of NES games, and renting them out to customers for around the same price as a video cassette rental for a few days. Nintendo received no profit from the practice beyond the initial cost of their game, and unlike movie rentals, a newly released game could hit store shelves and be available for rent on the same day. Nintendo took steps to stop game rentals, but didn't take any formal legal action until Blockbuster Video began to make game rentals a large-scale service. Nintendo claimed that allowing customers to rent games would significantly hurt sales and drive up the cost of games. Nintendo lost the lawsuit, but did win on a claim of copyright infringement. Blockbuster was banned from including original, copyrighted instruction booklets with their rented games. In compliance with the ruling, Blockbuster produced their own short instructions—usually in the form of a small booklet, card, or label stuck on the back of the rental box—that explained the game's basic premise and controls. Video rental shops continued the practice of renting video games and still do today.",Used open-source alternatives.,Blockbuster produced their own short instructions.
What are the two main native Alaskan language families?,Eskimo–Aleut or Na-Dene,"The Alaska Native Language Center at the University of Alaska Fairbanks claims that at least 20 Alaskan native languages exist and there are also some languages with different dialects. Most of Alaska's native languages belong to either the Eskimo–Aleut or Na-Dene language families however some languages are thought to be isolates (e.g. Haida) or have not yet been classified (e.g. Tsimshianic). As of 2014[update] nearly all of Alaska's native languages were classified as either threatened, shifting, moribund, nearly extinct, or dormant languages.",Athabaskan and Eskimo-Aleut.,Eskimo-Aleut and Na-Dene.
When approximately was Buddha alive?,sometime between the 6th and 4th centuries BCE,"Buddhism /ˈbudɪzəm/ is a nontheistic religion[note 1] or philosophy (Sanskrit: धर्म dharma; Pali: धम्म dhamma) that encompasses a variety of traditions, beliefs and spiritual practices largely based on teachings attributed to Gautama Buddha, commonly known as the Buddha (""the awakened one""). According to Buddhist tradition, the Buddha lived and taught in the eastern part of the Indian subcontinent, present-day Nepal sometime between the 6th and 4th centuries BCE.[note 1] He is recognized by Buddhists as an awakened or enlightened teacher who shared his insights to help sentient beings end their suffering through the elimination of ignorance and craving. Buddhists believe that this is accomplished through the direct understanding and perception of dependent origination and the Four Noble Truths.",Buddha ( Siddhartha Gautama): 563-483 BCE,Sometime between the 6th and 4th centuries BCE.
What did On Origin of Species avoid in order to raise its chance of being taken seriously?,it avoided the narrative style of the historical novel and cosmological speculation,"While the book was readable enough to sell, its dryness ensured that it was seen as aimed at specialist scientists and could not be dismissed as mere journalism or imaginative fiction. Unlike the still-popular Vestiges, it avoided the narrative style of the historical novel and cosmological speculation, though the closing sentence clearly hinted at cosmic progression. Darwin had long been immersed in the literary forms and practices of specialist science, and made effective use of his skills in structuring arguments. David Quammen has described the book as written in everyday language for a wide audience, but noted that Darwin's literary style was uneven: in some places he used convoluted sentences that are difficult to read, while in other places his writing was beautiful. Quammen advised that later editions were weakened by Darwin making concessions and adding details to address his critics, and recommended the first edition. James T. Costa said that because the book was an abstract produced in haste in response to Wallace's essay, it was more approachable than the big book on natural selection Darwin had been working on, which would have been encumbered by scholarly footnotes and much more technical detail. He added that some parts of Origin are dense, but other parts are almost lyrical, and the case studies and observations are presented in a narrative style unusual in serious scientific books, which broadened its audience.",Charles Darwin avoided controversy.,Narrative style of historical novels and cosmological speculation.
Near what headland was Mosylon located?,Cape Guardafui,"In the classical era, several ancient city-states such as Opone, Essina, Sarapion, Nikon, Malao, Damo and Mosylon near Cape Guardafui, which competed with the Sabaeans, Parthians and Axumites for the wealthy Indo-Greco-Roman trade, also flourished in Somalia.","Mosylon, Cyprus.",Cape Guardafui
Where does Greece's health care system rank out of 191 countries surveyed?,14th,"Greece has universal health care. In a 2000 World Health Organization report, its health care system ranked 14th in overall performance of 191 countries surveyed. In a 2013 Save the Children report, Greece was ranked the 19th best country (out of 176 countries surveyed) for the state of mothers and newborn babies. In 2010, there were 138 hospitals with 31,000 beds in the country, but on 1 July 2011, the Ministry for Health and Social Solidarity announced its plans to decrease the number to 77 hospitals with 36,035 beds, as a necessary reform to reduce expenses and further enhance healthcare standards.[disputed – discuss] Greece's healthcare expenditures as a percentage of GDP were 9.6% in 2007 according to a 2011 OECD report, just above the OECD average of 9.5%. The country has the largest number of doctors-to-population ratio of any OECD country.",Greece ranks 34th.,14th.
What dividing line separated slave states from free states?,the Mason–Dixon line,"Sectional tensions had long existed between the states located north of the Mason–Dixon line and those south of it, primarily centered on the ""peculiar institution"" of slavery and the ability of states to overrule the decisions of the national government. During the 1840s and 1850s, conflicts between the two sides became progressively more violent. After the election of Abraham Lincoln in 1860 (who southerners thought would work to end slavery) states in the South seceded from the United States, beginning with South Carolina in late 1860. On April 12, 1861, forces of the South (known as the Confederate States of America or simply the Confederacy) opened fire on Fort Sumter, whose garrison was loyal to the Union.",Ohio River,The Mason-Dixon line.
When does Ye Olde Trip to Jerusalem claim to have been founded?,1189,"A number of pubs claim to be the oldest surviving establishment in the United Kingdom, although in several cases original buildings have been demolished and replaced on the same site. Others are ancient buildings that saw uses other than as a pub during their history. Ye Olde Fighting Cocks in St Albans, Hertfordshire, holds the Guinness World Record for the oldest pub in England, as it is an 11th-century structure on an 8th-century site. Ye Olde Trip to Jerusalem in Nottingham is claimed to be the ""oldest inn in England"". It has a claimed date of 1189, based on the fact it is constructed on the site of the Nottingham Castle brewhouse; the present building dates from around 1650. Likewise, The Nags Head in Burntwood, Staffordshire only dates back to the 16th century, but there has been a pub on the site since at least 1086, as it is mentioned in the Domesday Book.",Founded in 1189.,1189.
