context,question,golden_answer,our_answer_wo_context,our_answer_w_context
"The Truman Doctrine was an American foreign policy created to counter Soviet geopolitical expansion during the Cold War . It was first announced to Congress by President Harry S. Truman on March 12 , 1947 and further developed on July 12 , 1948 when he pledged to contain Soviet threats to Greece and Turkey . American military force was usually not involved , but Congress appropriated free gifts of financial aid to support the economies and the militaries of Greece and Turkey . More generally , the Truman Doctrine implied American support for other nations threatened by Soviet communism . The Truman Doctrine became the foundation of American foreign policy , and led , in 1949 , to the formation of NATO , a military alliance that is still in effect . Historians often use Truman 's speech to date the start of the Cold War .",what did the u.s. policy called the truman doctrine promise to do,created to counter Soviet geopolitical expansion during the Cold War,Containment of communism.,Contain Soviet threats.
"The Dark Tower Theatrical release poster Directed by Nikolaj Arcel Produced by Akiva Goldsman Ron Howard Erica Huggins Screenplay by Akiva Goldsman Jeff Pinkner Anders Thomas Jensen Nikolaj Arcel Based on The Dark Tower by Stephen King Starring Idris Elba Matthew McConaughey Tom Taylor Claudia Kim Fran Kranz Abbey Lee Jackie Earle Haley Music by Tom Holkenborg Cinematography Rasmus Videbæk Edited by Alan Edward Bell Dan Zimmerman Production company MRC Imagine Entertainment Weed Road Distributed by Columbia Pictures Release date July 31 , 2017 ( 2017 - 07 - 31 ) ( Museum of Modern Art ) August 4 , 2017 ( 2017 - 08 - 04 ) ( United States ) Running time 95 minutes Country United States Language English Budget $60 million Box office $107.1 million",who wrote the screenplay for the dark tower,Akiva Goldsman Jeff Pinkner Anders Thomas Jensen Nikolaj Arcel,Akiva Goldsman,"Akiva Goldsman, Jeff Pinkner, Anders Thomas Jensen, Nikolaj Arcel."
"This article lists the fifty most - subscribed channels on the video platform YouTube . The ability to `` subscribe '' to a user 's channel was added to YouTube by late October 2005 , and the `` most subscribed '' list on YouTube began as a chart by May 2006 , at which time Smosh was number one with fewer than three thousand subscribers . Since December 22 , 2013 , the most subscribed user has been PewDiePie , whose channel has over 60 million subscribers as of February 2018 .",who has the most subscribers in you tube,PewDiePie,T-Series,PewDiePie.
"The San Luis Valley is a region in south - central Colorado with a small portion overlapping into New Mexico . It is the headwaters of the Rio Grande . It contains 6 counties and portions of 3 others . The valley was ceded to the United States by Mexico following the Mexican -- American War . Hispanic settlers began moving north and settling in the valley after the United States made a treaty with the Utes and established a fort . Prior to the Mexican war the Spanish and Mexican governments had reserved the valley to the Utes , their allies . During the 19th century Anglo settlers settled in the valley and engaged in mining and irrigated agriculture . Today the valley has a diverse Anglo and Hispanic population .",where is the san luis valley in colorado,south - central Colorado with a small portion overlapping into New Mexico,"San Luis Valley, Colorado.",South-central Colorado.
"Gastric acid , gastric juice or stomach acid , is a digestive fluid formed in the stomach and is composed of hydrochloric acid ( HCl ) , potassium chloride ( KCl ) and sodium chloride ( NaCl ) . The acid plays a key role in digestion of proteins , by activating digestive enzymes , and making ingested proteins unravel so that digestive enzymes break down the long chains of amino acids . Gastric acid is produced by cells in the lining of the stomach , which are coupled in feedback systems to increase acid production when needed . Other cells in the stomach produce bicarbonate , a base , to buffer the fluid , ensuring that it does not become too acidic . These cells also produce mucus , which forms a viscous physical barrier to prevent gastric acid from damaging the stomach . The pancreas further produces large amounts of bicarbonate and secretes bicarbonate through the pancreatic duct to the duodenum to completely neutralize any gastric acid that passes further down into the digestive tract .",what is the acid in the stomach called,"Gastric acid , gastric juice or stomach acid",Gastric acid.,Gastric acid.
"Toner is a powder mixture used in laser printers and photocopiers to form the printed text and images on the paper , in general through a toner cartridge . Mostly granulated plastic , early mixtures only added carbon powder and iron oxide , however mixtures have since been developed containing polypropylene , fumed silica , and various minerals for triboelectrification . Toner using plant - derived plastic also exists as an alternative to petroleum plastic . Toner particles are melted by the heat of the fuser , and are thus bonded to the paper .",what is needed for the complete application of toner to paper,heat,"Toner, paper, toner cartridge, printer, heat press, toner transfer sheet, or toner applicator.",Heat of the fuser.
"Philadelphia Eagles Current season Established July 8 , 1933 ; 84 years ago ( July 8 , 1933 ) First season : 1933 Play in Lincoln Financial Field Philadelphia , Pennsylvania Headquartered in the NovaCare Complex Philadelphia , Pennsylvania Logo Wordmark League / conference affiliations National Football League ( 1933 -- present ) Eastern Division ( 1933 -- 1949 ) American Conference ( 1950 -- 1952 ) Eastern Conference ( 1953 -- 1969 ) Capitol Division ( 1967 -- 1969 ) National Football Conference ( 1970 -- present ) NFC East ( 1970 -- present ) Current uniform Team colors Midnight green , Silver , Black , White Fight song Fly , Eagles Fly Mascot Swoop Personnel Owner ( s ) Jeffrey Lurie Christina Weiss Lurie Chairman Jeffrey Lurie CEO Jeffrey Lurie President Don Smolenski General manager Howie Roseman Head coach Doug Pederson Team history Philadelphia Eagles ( 1933 -- 1942 ; 1944 -- present ) Phil - Pitt `` Steagles '' ( 1943 ) Team nicknames The Birds Championships League championships ( 4 ) NFL championships ( pre-1970 AFL -- NFL merger ) ( 3 ) 1948 , 1949 , 1960 Super Bowl championships ( 1 ) 2017 ( LII ) Conference championships ( 4 ) NFL Eastern : 1960 NFC : 1980 , 2004 , 2017 Division championships ( 13 ) NFL East : 1947 , 1948 , 1949 NFC East : 1980 , 1988 , 2001 , 2002 , 2003 , 2004 , 2006 , 2010 , 2013 , 2017 Playoff appearances ( 25 ) NFL : 1947 , 1948 , 1949 , 1960 , 1978 , 1979 , 1980 , 1981 , 1988 , 1989 , 1990 , 1992 , 1995 , 1996 , 2000 , 2001 , 2002 , 2003 , 2004 , 2006 , 2008 , 2009 , 2010 , 2013 , 2017 Home fields Baker Bowl ( 1933 -- 1935 ) Philadelphia Municipal Stadium ( 1936 -- 1939 , 1941 ) Connie Mack Stadium ( 1940 , 1942 -- 1957 ) Franklin Field ( 1958 -- 1970 ) Veterans Stadium ( 1971 -- 2002 ) Lincoln Financial Field ( 2003 -- present )",when was the last superbowl the eagles went to,2017,Super Bowl LVII,2017 (LII)
"Romeo and Juliet , TH 42 , ČW 39 , is an orchestral work composed by Pyotr Ilyich Tchaikovsky . It is styled an Overture - Fantasy , and is based on Shakespeare 's play of the same name . Like other composers such as Berlioz and Prokofiev , Tchaikovsky was deeply inspired by Shakespeare and wrote works based on The Tempest and Hamlet as well .",who wrote the music to romeo and juliet,Pyotr Ilyich Tchaikovsky,William Shakespeare,Pyotr Ilyich Tchaikovsky.
"Fender is the American English term for the part of an automobile , motorcycle or other vehicle body that frames a wheel well ( the fender underside ) . Its primary purpose is to prevent sand , mud , rocks , liquids , and other road spray from being thrown into the air by the rotating tire . Fenders are typically rigid and can be damaged by contact with the road surface . Instead , flexible mud flaps are used close to the ground where contact may be possible .",where is the fender located on a car,frames a wheel well,"Front, rear, or side.",Outside the wheel well.
"`` I Vow to Thee , My Country '' is a British patriotic hymn , created in 1921 , when a poem by Sir Cecil Spring Rice was set to music by Gustav Holst .",who composed i vow to thee my country,Gustav Holst,Cecil Frances Alexander,Gustav Holst
