Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,15_token,16_token,17_token,18_token,19_token,20_token,21_token,22_token,23_token,24_token,25_token,26_token,27_token,28_token,29_token,30_token,31_token,32_token,33_token,34_token,35_token,36_token,37_token,38_token
Layer_1,7.832647724145516e-33,3.7909599300766815e-32,1.2211872470004185e-22,1.2737455588557166e-21,4.486197869818769e-20,5.1189587655562735e-22,1.4042875264249806e-20,5.935422022417798e-21,1.8963044837086812e-20,5.003480394281389e-21,2.8135819623741096e-27,6.939757852686999e-20,7.349238100206873e-28,7.595506269525807e-20,7.203689648107425e-26,4.579397721277739e-29,8.386322619806975e-30,1.4995523737517338e-28,3.8802890556381206e-24,6.587868847357853e-19,3.755258553471893e-27,1.1968896019286034e-27,9.37476696281982e-29,8.363672700964916e-36,2.203300372750309e-22,1.4960935809257115e-27,3.6015905618456824e-25,3.1333842627317344e-31,2.326239332505271e-37,1.1660141291899118e-27,2.9108152914171125e-32,3.8115318229635024e-43,,,,,,
Layer_2,2.1680732350190097e-08,1.1491882868727093e-10,1.1220982617763859e-09,6.893680583005584e-08,2.848271851877064e-07,4.707781460707259e-08,1.021036947844313e-06,7.877728166473558e-08,2.3691559187055429e-07,6.055138353027471e-07,4.4794402346352137e-07,7.84114964039705e-07,6.377286550781565e-09,1.0898528724381546e-07,5.736554754989882e-07,1.6180666374281277e-06,1.287875387546961e-09,1.7275796369110015e-07,2.968466886880783e-10,8.381329726402032e-07,1.4599310683752884e-06,1.0410457805004304e-08,4.519007350486535e-06,2.506956491589806e-09,4.1071664686659514e-05,1.3271495044253824e-08,3.3240732434644062e-06,1.2386792381074768e-13,2.8215670383489564e-07,2.866550293272007e-18,3.265126902201998e-09,1.0008436507317911e-06,6.8685652352194e-06,2.028614246494271e-20,4.9225169286209756e-20,1.429107276962327e-09,2.0657165685312205e-21,5.540008026451143e-24
Layer_3,4.97432130385311e-06,4.630943265662686e-07,1.3048786213768806e-06,2.804238459171858e-06,2.9097506559096786e-06,2.9439476627292803e-06,7.2877656411010766e-06,3.1983245490393417e-06,2.7183470293157947e-06,5.583066660607675e-06,1.5141160381385377e-06,6.9320167412928035e-06,9.278303170141621e-06,3.629127345969644e-06,1.9851242159792765e-06,1.1021593342939351e-05,2.979378612394746e-06,1.9776233066205177e-06,5.244562844877634e-07,2.984661781128479e-07,2.784785652695402e-06,1.9644361638737346e-06,1.9413835233775283e-06,4.443291815956158e-05,0.00030776308417603817,2.1316331325367694e-06,1.1800492925395644e-05,3.292271876444279e-09,3.131268108358398e-06,1.4048260444698299e-13,4.5337793398645406e-07,1.4911831971546965e-06,5.4381887464579775e-06,1.859525450287336e-10,8.910580606702467e-11,9.853773008217104e-06,1.820472009359149e-14,5.563878850849721e-17
Layer_4,2.3916558141890683e-05,4.754156875737215e-06,1.56870524960703e-05,7.726466966872439e-06,3.158941961961569e-06,8.148594889518508e-06,1.2308196093594062e-05,1.082046433240586e-05,4.3770146867335465e-06,6.4590238284673716e-06,4.064556941711787e-06,1.1279810676059603e-05,1.9907530619439637e-05,3.4736767778963114e-06,1.307286801556017e-06,8.411747836425184e-06,4.329280382320708e-06,4.968104782473317e-06,3.518396089398617e-06,1.5574465381351616e-06,2.1991783802815285e-05,2.624289433585577e-06,1.2934125764786472e-06,6.013589629327654e-05,6.687881162577014e-05,9.311257522238298e-06,3.447617725171881e-05,2.22420087990637e-06,7.86329695756649e-06,4.750709463767372e-10,5.322059988075584e-07,3.1539425428735632e-06,2.1154114078214548e-06,8.507924576406367e-06,3.850945518024673e-07,2.011012156799552e-06,2.7220501894187343e-11,2.7864621959632074e-13
Layer_5,1.9682202996002154e-05,1.3115486369631963e-05,2.466675121595948e-05,5.6946418305122135e-06,4.161183799878949e-06,1.0268006089747539e-05,3.3704123551880906e-05,9.376874850990245e-06,8.46919800829355e-06,1.3142311502098744e-05,7.468038315160773e-06,1.899891946593045e-05,5.568417144736165e-05,6.53581756051367e-06,4.870151042869514e-06,1.2575051933416681e-05,1.0970597464058165e-05,2.3036633473233055e-05,2.4723596506737167e-06,2.4896026600135235e-06,7.1753304227785615e-06,4.4907703392974936e-06,1.6474673269900597e-06,2.8670320980461738e-05,8.519665598214488e-05,5.863192643573711e-06,6.396404069164419e-06,1.6356982820653344e-06,5.179767981644545e-06,1.7071868291251846e-07,4.0109592995089355e-07,3.457795628492022e-06,2.0047632271295393e-06,0.000495158601552248,3.313267370685935e-05,9.867962944554165e-07,4.579499801593556e-08,7.156182868506278e-10
Layer_6,9.91882949413599e-06,1.985444659431882e-05,5.5479325198403215e-05,5.8884067199910635e-05,1.261639337133989e-05,4.861606770030604e-05,0.0017664375909893337,6.712049837771023e-05,4.005395061529921e-05,2.596722426250074e-05,0.00011970682907680283,2.0604930594932586e-05,5.024469279757079e-05,3.693734337202393e-05,2.0884006674246153e-05,0.0001002323546315339,3.767686556557237e-05,1.8054944351210732e-05,2.2367767755326895e-05,1.2332026801509244e-05,1.7364654472170775e-05,4.276388485398759e-06,8.279890193326386e-06,4.515272369118861e-05,8.68020159941807e-05,8.433481258407483e-06,6.007328092891839e-05,1.182214910500079e-06,4.278730273199471e-06,8.582809895093154e-06,2.0730020840649863e-06,8.23727259557927e-06,1.2535529852660451e-05,8.631651871837676e-05,1.236674597748788e-05,2.152408114852733e-06,4.383661291740282e-07,2.658026865276497e-08
Layer_7,1.3957735257026045e-05,1.040356600007761e-05,9.240424593782648e-05,7.693171358822733e-05,4.552800896238683e-05,3.612303690866755e-05,0.000278659773938017,9.193162158598827e-05,7.59130368039133e-05,3.3576559770962274e-05,0.00022218951745693564,1.3961201428821479e-05,5.4593124607057085e-05,3.71434681125727e-05,2.053689606444307e-05,4.327676099142477e-05,5.7714419949661536e-05,2.1841834729649727e-05,1.3033020329089595e-05,3.041432491102114e-05,1.6988297557775566e-05,1.1442462588699224e-05,1.7890985172167955e-05,5.08350152699677e-05,0.00014411871202355542,2.1162036446753518e-05,0.00019249427059548908,3.266664243710693e-05,2.8700418397420435e-06,5.640369446761421e-06,1.7466550256510043e-06,1.9055515167565318e-05,6.889890604118894e-06,5.1369588618399575e-05,1.9116559997200966e-05,1.5215231314869015e-06,1.7865701238406473e-06,8.012027024051349e-07
Layer_8,1.9771125048044233e-05,2.2004618212097675e-05,0.0003496064424985971,7.336874090364225e-05,4.9771119466131325e-05,3.442300558610092e-05,0.00046220956081448604,0.00012053603805857922,0.00012632017209076216,3.8228512980964524e-05,0.0004052437295373222,3.54495318926197e-05,6.18877369643914e-05,3.3507405752495536e-05,5.527871567484657e-05,4.973520705922728e-05,4.317507285378497e-05,4.8946786294506565e-05,1.793618646388495e-05,2.4405820809647594e-05,2.032464159234288e-05,1.0221604829515249e-05,1.727266052853338e-05,1.1107592236569985e-05,0.00010712090822266873,3.178040208950961e-05,2.2438249879996873e-05,7.537661605283574e-06,4.1971236157678504e-06,3.503210619252665e-05,5.500814268089016e-06,4.36926014420654e-05,5.41218203882939e-06,1.8030174032901414e-05,1.8080367226502858e-05,5.0433227443136275e-06,9.446294825465884e-06,8.379687415072112e-07
Layer_9,6.568322407353963e-06,1.888947254484543e-05,0.0005619141187978493,7.366049866247084e-05,6.589972249763057e-05,3.963868397683084e-05,0.00021151660025857665,5.9273718648000795e-05,0.0002254597202523535,4.519680035583759e-05,0.00031596241973699894,5.851258209354386e-05,7.300310268519614e-05,7.447509059340629e-05,6.029301506428369e-05,3.628071929686326e-05,4.133252007250121e-05,5.851262788452844e-05,1.5144090806984422e-05,8.867252603295128e-06,3.872142579146904e-05,1.1283576055139596e-05,2.940953853188451e-05,1.000362032641533e-05,0.00023814941748554475,2.7810331971522828e-05,8.51982941640017e-05,9.032956745613773e-06,1.0717264316895125e-05,3.296501423240746e-06,2.368180351671375e-06,2.2115311367087997e-05,1.1283411216330327e-05,1.6466006854898296e-05,8.362164408026729e-06,2.00619660972734e-06,2.7422351195127703e-05,2.7207731818634784e-06
Layer_10,3.3560391268405163e-06,1.9938017572894967e-05,7.211177636925708e-05,0.00014318863736387957,4.364526729427064e-05,4.093101815822304e-05,0.00029264908224426736,4.9672607810672766e-05,0.00010344673664124887,4.73403909037668e-05,9.802221152617513e-05,6.502740062976706e-05,0.00011452975955576635,3.7768067255726557e-05,0.00012738586258095587,2.9273883366999065e-05,5.5939516736458474e-05,3.737424840175243e-05,1.5452636475288273e-05,7.528556047020629e-06,1.4233618766671238e-05,3.5473830142980964e-06,1.340736116617336e-05,9.134784863817914e-06,0.0001209242764616647,4.888694440978725e-05,0.0001015526213677731,4.8155500280699925e-06,1.097054707344114e-05,5.445222996058874e-06,8.866765597304038e-06,1.2579319445649162e-05,4.1633146944756545e-06,1.5534713384113275e-05,1.6467169189127162e-05,3.67440479749348e-05,8.83565007825382e-06,2.557010020609596e-06
Layer_11,3.755699518155026e-06,6.78664986860708e-05,0.0004188976196091363,5.039069287369508e-05,7.45184045509059e-05,6.10259481013066e-05,0.0002851662162289159,0.00010887075485596951,7.458501707288987e-05,0.00013840846686580873,0.00021840965215907154,4.0784892862885414e-05,0.00014684060010433149,3.731073229993533e-05,8.259501448342353e-05,0.00010564232526694863,4.4170328837367376e-05,4.58309348232433e-05,1.3479687466144696e-05,9.352614839031048e-06,1.8453142502039555e-05,1.5556056117323653e-05,2.4035136353480386e-05,1.5617436247339356e-05,0.00010148829976515117,4.3756548407714035e-05,2.4612329661977127e-05,1.2869658064573741e-05,5.5440614517010545e-06,4.418239465546018e-06,6.324863723724168e-06,2.283972541287464e-05,2.7686466713324385e-06,4.2616597056621686e-05,3.007262603205163e-05,4.2197052607662044e-06,3.966155418311246e-05,2.0784141270269174e-06
Layer_12,3.4869909183532226e-06,3.105327853868178e-05,0.00025167613420850346,5.27003916719845e-05,5.574918219719149e-05,3.888810468345682e-05,0.0002120018367428145,7.028548937802902e-05,6.796270173955084e-05,0.00012216455822214003,0.0001746603751631223,2.9317330048880567e-05,0.00012580259263042095,5.3049692827583485e-05,8.736047106633147e-05,0.0001254239560328484,5.2879514834103246e-05,3.3579111990670404e-05,2.4528529795020405e-05,1.9927860307689116e-05,1.4094110740968193e-05,2.1303555977662352e-05,1.1681240133990892e-05,1.6351410704373847e-05,0.00016340748128413908,6.517940336436823e-05,1.1484387778182282e-05,1.506409347484805e-05,9.367815579253147e-06,3.326733159762322e-06,6.281316548969092e-06,1.2810858909991415e-05,1.5281687334815313e-06,0.0001340156013611704,2.126217987097334e-05,2.6604254799167393e-06,1.872481698228512e-05,7.706253200012725e-06
