Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,15_token,16_token,17_token,18_token,19_token,20_token,21_token,22_token,23_token,24_token,25_token,26_token,27_token,28_token,29_token,30_token,31_token,32_token,33_token,34_token,35_token,36_token,37_token,38_token,39_token,40_token,41_token,42_token,43_token,44_token,45_token,46_token,47_token,48_token,49_token,50_token,51_token,52_token,53_token,54_token,55_token,56_token,57_token,58_token,59_token,60_token,61_token,62_token,63_token,64_token,65_token,66_token,67_token,68_token,69_token,70_token,71_token,72_token,73_token,74_token,75_token,76_token,77_token,78_token,79_token,80_token,81_token,82_token,83_token,84_token,85_token,86_token,87_token,88_token,89_token,90_token,91_token
Layer_1,2.9279909799442565e-31,2.0425312180272482e-22,6.196929346055252e-21,1.3981703904576366e-19,1.1217331844957626e-19,2.612142137347294e-19,6.407019375432317e-20,8.846447911536683e-20,4.06791476882807e-19,5.895747101205016e-20,1.0132238735278665e-19,1.641613443550442e-19,1.7643675922067303e-19,1.1183164389228958e-19,1.035635111004854e-19,3.185016716982716e-20,7.611387266047648e-20,1.5515651978033582e-19,3.107251031977574e-20,2.004489338263077e-21,2.982280211037023e-21,1.236860175664547e-19,1.43667555660112e-19,1.3805612605395958e-21,7.285073099498495e-22,2.5468733598115437e-19,2.2205122769158338e-26,3.235510745781427e-24,2.877832154115778e-21,4.128870754351535e-28,1.1740258599093381e-26,5.169624256240118e-28,1.0330900641150057e-27,2.0861873954705225e-28,5.11771129145103e-32,6.254918532843337e-20,3.538719248728259e-28,2.9724332317662893e-28,2.2268964429224247e-26,1.281087860611933e-28,2.9814994277221887e-29,2.8323116920682893e-20,1.1571104904844562e-23,1.0690087197264585e-29,1.9225811125989118e-28,4.1756473462245854e-29,3.3215712524330053e-26,5.0911670210946665e-28,9.094781261308043e-29,3.82467570886254e-28,9.437206848656123e-36,4.4102240234488926e-30,1.0424864205401122e-19,1.0977429470815905e-28,2.5878601215241763e-29,4.051361953233358e-26,6.799270897313588e-33,4.7704359342038957e-29,3.930687859814665e-31,2.4043194557428126e-30,1.2509837042800456e-19,5.290377951889325e-19,2.260288153596137e-29,7.6495121097748965e-28,1.873181793570845e-32,3.189754430479164e-35,2.802596928649634e-45,2.5783891743576634e-43,2.802596928649634e-45,7.634385336586031e-28,1.0886423733089577e-28,1.9929421991715635e-25,2.5647559415982473e-39,6.386003467246621e-34,1.401298464324817e-45,2.802596928649634e-45,2.5783891743576634e-43,,,,,,,,,,,,,,
Layer_2,1.641571073663686e-08,7.068802158984747e-10,1.0411455040687189e-07,1.5139322885238558e-06,5.797241198681823e-07,1.422966113708491e-07,1.486660148144506e-06,5.533143391760076e-07,8.288372942378844e-08,5.719485744265387e-07,7.0111347966648185e-06,8.875036419163648e-07,1.979054075389543e-06,5.769570538872828e-06,1.5622729850541296e-06,1.1341983496499872e-06,1.0114006320923943e-06,5.515604099457958e-07,2.429410424859043e-06,7.012601002343674e-07,8.391049341026752e-07,9.207836358000807e-07,4.040739651110706e-06,1.0554249429116687e-06,4.509517669851163e-06,1.1361041115250916e-06,9.774737563235201e-06,5.7944523367686207e-08,2.4106343212541376e-06,9.460762601794883e-06,8.303440446679173e-09,5.322850062884316e-06,1.9834713804775264e-06,2.7902973381767544e-07,1.5702895781580663e-07,2.1206464287224466e-06,6.347551152081969e-10,5.606098623292605e-08,1.268626610752206e-09,1.168873839885111e-06,6.180236088432333e-09,1.435316847131842e-06,5.7406913001760754e-06,5.129855101746342e-07,5.03872936302745e-12,2.5409516002510014e-06,2.5541500418036554e-09,7.246859869618984e-06,2.39273572476421e-13,2.4438205675113694e-06,5.073642398085803e-07,2.8987177846597315e-09,8.355084266855043e-06,5.4582413322684594e-08,1.7570238187249085e-06,2.9650404117404217e-07,1.5491803944392767e-06,6.726600920732731e-12,7.991695762850921e-06,7.146460755774948e-14,6.886862489659553e-09,1.680195850638335e-06,2.493180385222646e-07,9.07519015782704e-06,6.6890540874843115e-06,7.284452095140772e-11,3.2169338886143883e-12,2.0484481694451517e-06,5.553031240041779e-07,2.703580495167732e-07,3.879451475814948e-07,1.6982094966369083e-08,1.2751795062592632e-13,1.9042548956349492e-05,8.380592331214132e-10,1.372937356466092e-21,5.311144857245154e-09,2.5250811536110204e-22,4.7025066945895894e-14,9.857686760699428e-27,3.0019123067625064e-25,1.8990320427292318e-07,5.149685799316073e-12,4.9976846639765427e-05,6.35984754443486e-13,3.879260584197758e-21,4.4333386739481284e-08,1.9116576125658786e-21,4.213306881661015e-14,7.68980685963069e-27,1.7803390083148103e-25
Layer_3,6.144685278125049e-06,8.96259275240279e-07,9.643168288728972e-07,5.906982411711402e-06,4.39496040720919e-06,7.19330705841737e-06,7.753124663233257e-06,5.069676537365201e-06,4.413507468557188e-06,1.0789779837806467e-05,9.93281032575353e-06,1.0650342260365031e-05,6.010304744798493e-06,1.5139774796478722e-05,3.838163312096142e-05,0.00015514005061005216,2.3013373658751254e-05,3.642106981679536e-06,7.919783520730296e-06,2.9955376574392705e-06,8.237573053923849e-06,1.0114288851125802e-05,1.518501119691468e-06,5.506132443064652e-05,3.6706017192003345e-05,5.603810636527118e-06,5.692951042561358e-06,2.6290723899414845e-05,3.3598006114379827e-06,1.8744761327178774e-06,1.9425277948176988e-06,2.061326575456423e-05,1.882732077389415e-05,1.2574607306166011e-06,2.1576337106074808e-07,3.834354722331345e-07,1.6346731079819318e-06,3.9991831617625615e-07,7.706813467705885e-07,1.6985718690784484e-06,6.570589417977878e-07,1.1679092647029704e-06,3.2866646244861603e-06,2.121049462596805e-06,1.602559533848022e-07,2.486295529967671e-06,4.810399000819549e-07,6.300326655822081e-06,9.682710487501648e-09,3.9368185911516883e-07,6.789983904577545e-07,5.681833550068915e-07,5.972776598484635e-06,5.996589411597319e-07,1.0828962245727282e-06,5.325606032987283e-07,1.0974010329763478e-06,2.8056353736383955e-07,2.2626445209311674e-05,1.2070879879140777e-09,1.3116635563794185e-06,3.3642369957197433e-06,1.7898365976432018e-06,5.469330250371e-06,7.397550347087782e-06,1.1192965236685148e-06,3.147993668154517e-07,2.0109117982676996e-06,1.8196639025268302e-06,1.1040877381622571e-06,1.039778383063474e-06,6.361194864656767e-07,5.346042275537368e-09,1.4317603927338496e-05,2.387210315646371e-06,2.2108901941163045e-16,1.6160792881692032e-07,6.264135282025836e-16,2.44357664769268e-07,6.776941478395784e-20,2.8561114536379594e-16,6.220004252099898e-06,1.1827808776843085e-07,1.8928985809907317e-05,9.619245844305624e-08,1.031395173938356e-14,3.233654297218891e-06,4.487737785044117e-16,3.907321115548257e-07,7.497700135265036e-20,4.999875080777749e-16
Layer_4,1.9145521332825953e-05,3.829741068849866e-05,1.0538683170387889e-05,7.123091145035452e-06,4.641048550457452e-06,8.885492327650973e-06,2.5143422513761807e-05,6.559349878074589e-06,1.0220559566685346e-05,1.3794444622846596e-05,2.390061504950985e-05,1.2638456564077397e-05,6.740465165906399e-06,1.9659518202487793e-05,2.7130405089317684e-05,0.0009757837539606485,2.502654166593103e-05,4.706360416697243e-06,1.6243402071870274e-05,8.9570402662543e-06,5.5845559656928875e-06,8.856990396082052e-06,2.3757896158325736e-06,3.969755702685937e-05,3.359193173293807e-05,3.21789120358608e-05,8.722284898972461e-06,7.638053413928398e-06,2.3278146771338432e-06,8.760451126979684e-06,9.929957720579396e-06,1.3783256919923993e-05,9.119288663626345e-06,8.778642575029556e-06,2.9183251394957293e-06,5.648142341832362e-07,5.844623961600019e-06,2.4995867699614636e-06,0.00010082615799302745,2.7721629869719416e-06,3.317077233557366e-06,3.4799936883267435e-06,3.0046218956782607e-06,5.562159054259583e-06,3.0422015589371456e-06,2.0434915695213355e-06,1.137799754730402e-05,5.240801934883947e-06,2.3859856328091995e-06,1.413535841675394e-06,4.470535149810658e-07,6.503861389799732e-06,4.8345257382438015e-06,3.7310694241518474e-06,1.9826827108612574e-06,1.2259347259568898e-06,7.181707308308753e-07,6.04997621458242e-06,2.0486495306689296e-05,6.26599225455234e-07,9.993901769860262e-07,1.4599754230459893e-06,8.313505622936645e-06,1.2031546921770914e-05,2.7993982479435074e-06,3.7978017506561232e-06,1.5576587176836452e-06,3.6858163421812504e-06,4.049446436837911e-06,4.949333286319302e-06,4.67773002547911e-07,4.136895972537552e-07,4.088770310794239e-06,1.2545461686386261e-05,6.970062258915277e-06,3.7993975912468947e-13,4.496771310869008e-08,8.502280823829977e-11,1.0758323298887262e-07,4.716487617129062e-13,1.5986623483343898e-11,2.1141634078958305e-06,2.7007856260752305e-05,1.1281746992608532e-05,1.2231257642270066e-05,4.5555308657296845e-12,2.600237110073067e-07,3.369192425051182e-10,1.4212834287263831e-07,1.6479868684970977e-12,5.7945905018730315e-12
Layer_5,1.5703058347792413e-05,0.00018206653715704464,3.078678378902224e-05,3.615621644572468e-05,9.706732871994047e-06,1.6426006970046107e-05,2.6828125909543704e-05,3.2897518417714214e-05,1.9944344051003887e-05,2.7296682550565158e-05,7.269571643874766e-05,1.432229073297897e-05,1.0609851068688644e-05,0.00011053541246289233,2.745880597743409e-05,0.0001429735136656072,2.8817277841290406e-05,1.813495028873193e-05,2.0159376744332327e-05,1.160384757529048e-05,2.2011949287150128e-05,2.2831435414343095e-05,1.0603779267680728e-05,2.2246417889953835e-05,4.265548598769118e-05,4.365633121961032e-05,6.396467854457833e-05,3.468397511008359e-05,1.057148180218998e-05,1.9220103983149293e-05,8.300219675203684e-06,0.000771213950970413,1.5994334513157076e-05,1.3880275681366072e-05,5.121187484290344e-06,4.895520623091882e-06,3.505521470306879e-05,1.6560035406605017e-06,0.0003711179404182209,8.650898655719482e-06,4.27312591141001e-06,4.911211165550513e-06,1.2321244690141253e-05,0.0002979237702622268,5.224561625959134e-06,3.819889096909335e-06,1.7076157429839547e-05,6.5201669146586205e-06,2.350646162281589e-06,6.068264537073369e-06,1.1237303631744005e-06,1.0438902352559256e-05,7.253475774047859e-06,5.264635533487803e-06,2.3678579602773705e-06,2.9269225214940368e-06,8.063029455377244e-07,1.7105532103656174e-05,4.0495445015646205e-05,7.697050989463605e-06,5.9663376855515855e-06,2.20547730123144e-06,1.0922330420726212e-05,1.6688647938423174e-05,2.8448786679291514e-06,5.37737262391591e-06,5.396294553472458e-06,3.931921841371367e-06,7.165636546346832e-06,1.0318736826775421e-05,1.2290935149650295e-06,5.705526560835968e-07,5.109098893327604e-06,1.4096595805312973e-05,4.320982043282129e-06,2.528923737088462e-10,6.94678519153058e-08,4.21962589314262e-08,1.321057084169297e-06,1.1464599269928044e-09,9.189488281435843e-08,2.820088411681354e-06,4.9303038395009935e-05,3.1485531508224085e-05,2.2461861590272747e-05,6.155079113057127e-09,1.2941438853886211e-06,6.389656359573337e-09,1.041123027789581e-06,1.402683191820131e-09,2.8835151155703898e-08
Layer_6,1.553446473786104e-05,0.0008503088991312577,7.677931170857408e-05,4.182451970944549e-05,7.336394182651064e-05,5.030011358932516e-05,4.4614696040593906e-05,7.495996888115216e-05,6.710143719629252e-05,5.8606650826577975e-05,0.00026352036741054865,3.256597809254762e-05,3.890917480660587e-05,0.00012995206180117468,0.0002589149635125841,2.7119076312215457e-05,0.0009900559081711334,7.368496482761266e-05,4.476753430840068e-05,3.168785712469076e-05,0.00010371143723964556,4.073398586693049e-05,0.000282091062373377,3.9399539915084924e-05,6.807524799733621e-05,2.7340246573402977e-05,0.0002532904886029995,8.992435932198006e-05,2.4869691109697193e-05,2.257415061966602e-05,3.215621354354833e-05,0.007959876713829105,2.4685360335470536e-05,2.129598295788071e-05,4.434494249731339e-05,2.6471145371896027e-05,5.7020746049355844e-05,4.533299754884622e-06,0.002265712347780026,4.69045058442545e-05,4.217151568594899e-06,3.6816993246683674e-06,6.670742204148736e-06,0.00030638038230613855,6.895580905386112e-06,8.476791350631174e-06,2.044595229833135e-05,1.6122129672169194e-05,1.8389058687229287e-05,1.933077034621533e-05,5.552436180421085e-06,7.9815287270841e-06,3.967839234064741e-06,7.1439346583141675e-06,3.58981954004126e-06,1.3376710098457676e-05,3.498403405696341e-06,1.9492309874635794e-05,4.461452781849099e-05,1.9495423600801587e-05,0.00031202384815376405,2.3982835045899265e-06,2.4444608425255864e-05,8.495890097037772e-06,1.5482897970287014e-05,1.0102041130721773e-05,1.695250498983114e-05,4.431585955444461e-06,9.663224858513786e-06,9.222000429076616e-06,1.8880598133819149e-06,2.0721588593157017e-06,2.797711202984221e-06,7.139840818126686e-06,8.543623152945656e-06,1.265775324554852e-07,1.0207305223275398e-07,3.458124240296456e-07,2.7732676244340837e-06,1.445187081117183e-07,1.7586033891348052e-06,8.546962817490567e-06,1.903201155073475e-05,8.1391526691732e-06,2.161297197744716e-05,3.9701947684989136e-07,6.18606748048478e-07,1.7625704629153915e-07,3.2585223834757926e-06,1.5142719576033414e-06,1.3304838830663357e-06
Layer_7,1.9985850002321783e-05,0.0006434676976012321,0.00010891673101536178,4.11276657879646e-05,4.273173109800495e-05,9.006692388365517e-05,8.395707713237607e-05,0.00017101076806990472,0.00011234706649781081,0.00018234516259933915,0.00047608346816200155,5.579925025045688e-05,6.344135842630852e-05,5.3898748617874354e-05,0.00016448108344886982,3.602829411181045e-05,0.00037119915560991586,0.00019260325625527396,5.6035139607297885e-05,4.6483947279969515e-05,0.000323307497342995,7.027907667800692e-05,0.0019399897837437034,5.324113752232568e-05,5.5447855018391035e-05,0.00019448302720578373,0.00022915555578224795,0.00010331528395468581,3.599758270139876e-05,2.561978205619653e-05,6.232804249895741e-05,0.03075685235608944,4.069532105201228e-05,7.018018498090583e-05,1.620900435897157e-05,2.5918641772945837e-05,9.126893303725107e-05,4.158658090146007e-06,0.002518496602917253,0.0001446496770747465,2.0411299645830797e-05,5.795447540732665e-06,9.141772355608029e-06,0.000238678965021598,1.0171491453547787e-05,9.096203939407133e-06,2.8778180094946038e-05,7.761989039067885e-06,1.4915609431120913e-05,0.0002452839090096859,1.8239069342078957e-05,1.3543933456665919e-05,2.4129515858411262e-06,1.76227146115236e-05,6.638741930536136e-06,9.227199293653549e-06,6.278395565979216e-06,1.3460423048172743e-05,1.6319589993448364e-05,5.007196794319194e-05,0.00014309709787122907,1.5559935593500996e-05,1.8289530817128253e-05,1.32889702626926e-05,4.9888630542227475e-06,1.2340402645349968e-05,1.2440342834452167e-05,3.3441046170423762e-06,9.117463420693639e-06,8.721152699564527e-06,5.051627255170388e-06,8.071883523067905e-07,9.485259923280864e-06,2.575945700300508e-06,1.52469392560306e-05,8.368193448404782e-06,2.6454909374251656e-08,4.7991871809927034e-08,1.0797101595017011e-06,7.684152478759643e-06,2.1874379854125436e-06,1.893634362204466e-06,4.933785749017261e-05,9.14080737857148e-06,9.848011359281372e-06,1.6107471765280934e-06,1.0460510679877189e-07,5.912340839131502e-07,6.686220217488881e-07,4.519919821177609e-05,4.528686531557469e-06
Layer_8,3.77068069147145e-05,0.001039076755701982,0.0003388264810332966,3.650229660910784e-05,4.821783359576049e-05,9.366752879424894e-05,7.566177326434945e-05,0.00012631285096115558,0.00013914834879235566,0.00028317058295257745,0.00013079332580644102,6.669505999688058e-05,5.7142012619862196e-05,0.0001945224982863279,0.0002553254573230781,4.225125102777397e-05,0.0006639391106545765,6.457124789615234e-05,7.163238747462737e-05,4.2525669385462265e-05,0.002747670565047556,0.00012113980463698061,0.003799253031943562,0.00010699294506650858,7.064674803694608e-05,6.412089801214246e-05,0.00035143307474763913,0.00020073316875635072,2.544273028279936e-05,3.538902589544553e-05,6.805343171518214e-05,0.03561305253350383,3.75582266186662e-05,0.0001288390354673652,4.245608435364071e-05,3.2422429828717644e-05,0.00010724975854211985,7.113666211644443e-06,0.0010532186418131012,8.446608274746062e-05,2.2455196206768353e-05,7.552687463885377e-06,1.4659164880489092e-05,1.6472108725117272e-05,1.3096218737018717e-05,1.502163726740946e-05,2.8723095375937646e-05,1.893682971854105e-05,1.4151295308018064e-05,0.0006376399121919007,1.8890882003574916e-05,1.598487675177499e-05,7.140041211479391e-06,4.062768961635551e-05,8.568258281676272e-06,2.1818400508014486e-05,6.557466316995228e-06,1.1575023331526305e-05,4.7214492004362306e-05,1.7704304497101475e-05,0.00010808199139470769,0.00015660440191709313,1.734998859319603e-05,1.5182881838882167e-05,1.0548165937507292e-05,3.4435047609804315e-05,1.798272928112965e-05,1.3994940445627435e-05,6.642340707685435e-06,4.4702320245448846e-06,3.278464802747294e-06,1.309108322781564e-06,9.800278348848224e-06,1.3543653949454892e-05,5.774990768259158e-06,1.040726692735916e-05,7.072940633179314e-08,5.798005631163505e-08,3.4715631045401096e-06,3.517510413075797e-05,1.3187453760110657e-06,9.887190572044346e-06,2.5370562070747837e-05,3.2811323762871325e-05,3.534411371219903e-05,5.577933279710123e-07,2.1967780128306913e-07,2.918233121818048e-07,6.2834451455273665e-06,4.067623376613483e-05,6.837749879196053e-06
Layer_9,1.2412025654119182e-05,0.0005256014609027597,0.00036507352529859384,5.0393882693880645e-05,4.396065145711256e-05,8.873504006002117e-05,5.013380876712837e-05,0.00010384221974286003,0.00020799845183693772,0.00020457894410381581,0.0001445006823590698,5.4847798502444726e-05,6.481697527086115e-05,0.0001495803800227351,0.0005057115356119054,5.468179351439503e-05,0.0002430749739809484,5.4946391164684416e-05,6.148443612628058e-05,6.588317404616465e-05,0.0014520763492914125,9.509800531759538e-05,0.0009991666143267781,3.459535334329189e-05,9.455132673570296e-05,5.8466332398219625e-05,0.00010803740420386334,0.00025181726290135487,3.131158278515687e-05,6.872852475225955e-05,3.127477547469358e-05,0.03323692368547654,2.5022739350479537e-05,9.572627927880716e-05,3.808305669710737e-05,4.716094656111088e-05,0.00028229348053703993,7.254462001147845e-06,0.00042758891179265187,0.0004349253185968006,1.9176689976221598e-05,5.9941906253394945e-06,3.290574180741462e-05,1.786724587857533e-05,1.8833120464023523e-05,2.8422504556147032e-05,5.536939206507441e-05,1.0429688302338036e-05,1.263696594611119e-05,0.00013570813697860729,2.261087113148668e-05,1.0775990403999458e-05,4.8241452645925165e-06,1.4077326406030416e-05,2.2914722057367142e-05,3.362037030488604e-05,1.7610724934716666e-05,1.0780944696383207e-05,1.719743250797971e-05,2.21729245026836e-05,2.2110045316973508e-05,4.7345351703143024e-05,2.2229261867323656e-05,1.1126459833121772e-05,1.996563111674732e-05,3.516927445161855e-05,1.9808611995131287e-05,5.554262861551251e-06,1.0937077973949272e-05,8.039953726779459e-06,4.316377193447352e-06,9.236390875836756e-07,3.10329977537549e-06,1.8627593817654997e-05,7.465486123692244e-05,5.9761820011772215e-05,1.0430054686594303e-07,5.644380962621653e-07,4.429122782312334e-06,3.0686780519317836e-05,3.906184531388135e-07,3.59137470695714e-06,8.377691301575396e-06,5.723975846194662e-06,4.613498276739847e-06,6.919849511177745e-06,3.106620738435595e-07,2.133397174475249e-06,1.1178573913639411e-05,1.5572699339827523e-05,3.0251442240114557e-06
Layer_10,5.228403899065867e-06,7.680936301886908e-05,6.99188302874102e-05,4.991849587383218e-05,4.588535319487935e-05,4.4743190183510645e-05,4.908598803004252e-05,6.65008291727037e-05,6.712130785567053e-05,0.00010748343235092153,0.00010682082820708409,3.927388361750583e-05,6.476175540876016e-05,7.75356541139241e-05,0.0009691257241541008,5.08823950743769e-05,0.00017960828327248063,4.753835759246535e-05,3.101908163919024e-05,9.408920522675069e-05,0.0013222743354717181,0.00012104366840831524,0.00036447979850660965,5.395039981072552e-05,5.4086150085106754e-05,7.317814110780596e-05,4.559376643131474e-05,0.00011245936347314966,2.306492975336486e-05,7.439012457126637e-05,2.0990127753579885e-05,0.016581947176550784,2.123490961396427e-05,6.829217087158667e-05,3.505376303141677e-05,5.24467557291493e-05,0.00022321688508100123,2.111980458658585e-05,0.001335742507737032,0.0003056641515703456,1.0538503223263737e-05,6.444686325342748e-06,8.846849855596399e-05,2.7227729972088986e-05,9.68379800525554e-06,7.364297502476802e-06,1.7115917550825088e-05,2.1820744990463936e-05,5.132917262784531e-06,0.0003214734223391247,2.278673809590665e-05,1.5748749348176716e-05,7.629735175588134e-06,6.486190743869104e-06,0.00013168835544823715,3.09514559912064e-05,7.035477179735088e-05,6.762694070516773e-06,1.1258870093418713e-05,4.1064002402890765e-05,5.563441659243532e-05,2.307948102497903e-05,4.645182889362331e-06,5.297621578392864e-06,8.349974859811481e-06,2.307782413026871e-05,1.0104044611125573e-05,5.326139171302202e-06,5.009166798686238e-06,2.4406889451711322e-06,2.8266401557175413e-06,3.90796397671996e-06,4.687612431553134e-07,9.135865752796235e-07,8.918626917875372e-06,5.199007318879012e-06,1.046125703396683e-06,3.537035411227407e-07,3.935775566787925e-06,7.32720727683045e-05,2.0307814452280581e-07,1.7084691990021383e-06,8.651676921545004e-07,1.5070905874381424e-06,1.0092181810250622e-06,1.8163838149121148e-06,2.7413122438701976e-07,6.342248184409982e-07,5.768410574091831e-06,2.6154231818509288e-05,9.178240247820213e-07
