Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,15_token,16_token,17_token,18_token,19_token,20_token,21_token,22_token,23_token,24_token,25_token,26_token,27_token,28_token,29_token,30_token,31_token,32_token,33_token,34_token,35_token,36_token,37_token,38_token,39_token,40_token,41_token,42_token,43_token,44_token,45_token,46_token,47_token,48_token,49_token,50_token,51_token,52_token,53_token,54_token,55_token,56_token,57_token,58_token,59_token,60_token,61_token,62_token,63_token,64_token,65_token,66_token,67_token,68_token,69_token,70_token,71_token,72_token,73_token,74_token,75_token,76_token,77_token,78_token,79_token,80_token,81_token,82_token,83_token,84_token,85_token,86_token,87_token,88_token,89_token,90_token,91_token,92_token,93_token,94_token,95_token,96_token,97_token,98_token,99_token,100_token
Layer_1,8.279366550044133e-31,0.00234192037470726,3.0671140081959743e-21,1.2080429260663452e-20,2.12866500665457e-20,6.305686659714024e-20,1.3435208889238693e-20,4.125169035364164e-20,2.252388717582876e-19,2.8382273047053626e-20,5.1658319674905617e-20,4.3594736957931506e-20,6.577593813801844e-20,2.4312183666925794e-20,1.0691517035333388e-19,6.18256068905514e-20,7.754900711244574e-20,1.6111838020488994e-20,1.3206630337824962e-19,2.16770466325909e-20,3.426047063229178e-21,1.3435781891201286e-20,4.8638106519268723e-20,1.6496067633781848e-19,6.1429117106297675e-21,2.219515375431903e-21,1.2124290438757702e-19,2.161703084468666e-19,9.195766482615073e-23,4.299635860110679e-19,1.641067252400268e-21,4.12593258114207e-21,0.019230769230769232,2.9435784836499097e-19,3.023016340464692e-19,3.541675468717304e-21,2.2892081994899804e-21,4.841277098373344e-21,2.304965467532356e-27,3.899525471662461e-19,4.398888165394234e-22,7.708766709137171e-23,9.846905467051753e-28,1.4121973280050596e-19,1.5801910113774615e-20,4.354856340627658e-19,5.227020288827749e-27,6.214617257494064e-20,1.0021440414804223e-22,9.906737200815858e-20,1.1932757571980336e-25,5.092255572242214e-19,6.079673038298545e-22,3.725969719673783e-21,6.142496346072712e-27,2.148042690039254e-22,6.069239341268738e-21,6.069239268757412e-21,1.6932234382980643e-19,4.019379530687206e-21,3.777675978026163e-27,1.904643215398294e-19,1.6623179927088212e-24,1.0409268820344043e-21,4.151193765345213e-25,9.4867284414277e-24,4.041955284309287e-22,2.8802894854642116e-27,1.1491012273888885e-24,8.1664334504777155e-19,2.766182998237016e-23,9.996529120215753e-21,6.504087290281054e-24,1.3683516230894882e-28,9.998743030083058e-21,1.7684769818867128e-22,1.555993611094973e-19,1.1999036672281794e-21,4.993001321137894e-22,9.996416075132505e-21,7.047884596171166e-27,1.2900939583613876e-20,1.0621168856792487e-20,4.063128254740263e-20,1.5704645811285909e-21,7.411032750270978e-26,2.120112233477303e-28,1.544897288949447e-20,6.51904946097891e-37,1.0386915999138443e-20,1.8886508918494705e-20,1.4732002544367114e-28,1.142771752283123e-18,1.8732272706856665e-38,5.605193857299268e-45,1.401298464324817e-45,,,,
Layer_2,4.883252867225679e-07,0.0021928551409651884,4.699230730002643e-07,3.274171551332427e-07,2.904405655750359e-07,3.644105872381736e-07,5.658233741891663e-07,3.741924468419596e-07,4.5735040337078744e-07,4.362399057889497e-07,1.7683905970029827e-07,1.620209677569335e-07,3.316709745197415e-07,1.494728040301797e-06,2.1874411062892688e-07,7.55484156839147e-07,4.1987297580074927e-07,5.433428557598255e-08,3.375188435650125e-07,4.378180324418721e-08,7.109048664536466e-07,7.076224218785636e-07,2.456795731322943e-07,1.883192841796192e-06,1.623580141909142e-07,1.302069555789923e-06,1.2594767798513936e-06,3.2002913896778796e-07,3.829896455811075e-06,3.031395172663326e-07,7.079091707688227e-07,2.8519661017391833e-06,1.1561406935164355e-06,8.570244527809604e-07,0.01724161104024404,1.098480952829588e-07,2.346889541721785e-06,2.5222787680811284e-07,8.302477431040873e-07,2.9725164322074572e-06,5.588646491083009e-06,2.5798899621602356e-06,9.21991283611291e-07,2.693115834754543e-07,5.071745411064455e-07,6.643063274333637e-07,1.3273612154528727e-06,1.337358310665896e-07,5.747345680967051e-06,1.1736569684378574e-07,5.366275248343847e-07,8.44121054703253e-08,1.5510089193097784e-07,7.245100715017031e-07,1.1817683380839481e-06,7.79522882542909e-07,2.9053620517324483e-06,2.2161423470504743e-07,1.2048159812004592e-06,9.235856321370647e-08,2.2548984772420305e-05,8.117380361814517e-08,6.431970880682386e-07,1.2743254715688148e-09,5.593224768061488e-07,2.742458168080211e-06,2.0643436645744314e-06,1.9811141758188013e-07,1.8895088026110788e-06,9.066483937997674e-08,1.5621061567255857e-06,7.687591662553331e-08,9.900786577805275e-08,1.0087859861041217e-06,1.5246798088157076e-06,4.968257792642444e-07,1.8189974550214833e-09,6.484209963293248e-09,6.574166657562857e-07,6.338375538012314e-07,8.98521457074985e-07,4.468153419884709e-07,6.060454633037918e-07,5.101453481611308e-06,1.6363734035704889e-06,1.4706277340011214e-06,7.283972883069314e-08,1.2709730433190281e-06,5.7788820211161235e-08,4.19010606217613e-07,5.825839688901806e-07,5.122531756514686e-08,7.143616258556398e-07,1.3955870504367076e-06,2.2322425686694943e-07,7.063009869011162e-07,1.1882519369836243e-06,2.1996082907369047e-07,1.6903558636429554e-07,1.2510159931065079e-06
Layer_3,7.039741025139652e-06,0.0019185354110277631,6.0836157805401365e-06,6.486617275812275e-06,7.958057926194314e-06,4.105403165506061e-06,4.37897354222481e-06,8.1531204718098e-06,6.009536759138732e-06,9.319598572865934e-06,5.363096324486929e-06,6.902351308377241e-06,6.887950785761881e-06,1.0517489588848291e-05,5.441244271342091e-06,7.579707348662011e-06,7.28665351908068e-06,7.67050395231897e-06,7.955700777815542e-06,1.668819371766927e-05,7.411487683473033e-06,8.686948510366713e-06,5.61169784143469e-06,8.922788067696951e-06,6.664402671214352e-06,5.223218146423427e-06,9.909648358130228e-06,6.021752441106465e-06,3.222494489600586e-05,1.0457018051494752e-05,7.6034817448135785e-06,7.35955454936094e-06,2.5932971863980804e-05,3.807863245729421e-05,0.017249679443911484,1.7971598432719042e-06,5.791163203753342e-06,5.4519220256029934e-06,2.6033764371238666e-06,1.723172959412112e-05,1.5713130138709925e-05,1.6568830737006242e-05,3.1260143625766617e-06,7.800199157701737e-06,2.5340745976138893e-06,3.3270734556937315e-05,9.30000734222396e-06,5.02739640716902e-06,1.3499719604579759e-05,1.3507900062670267e-06,1.4258204968741539e-06,2.590644770091959e-06,1.5814494469880119e-06,7.027771375061121e-06,2.8756343153416204e-06,1.996956239399653e-06,6.098291596835481e-06,5.036424234143311e-06,9.756679425291311e-07,1.4152176254219245e-05,3.6877318848888098e-06,2.193318760517785e-06,8.260572516949165e-06,1.0732972965910876e-05,3.873252475428534e-06,1.030189041969097e-05,1.3633259322912714e-05,1.869214218569765e-05,5.3233369355698374e-05,6.663614514213156e-06,1.6787038069910804e-06,1.3862467876354315e-05,5.3054558204312115e-06,1.5548733921139803e-06,4.481152474069784e-06,2.4889607947518837e-06,4.190945964769979e-06,1.1782162808139254e-06,3.612055649707416e-05,2.733666472697414e-06,2.956383915625034e-06,1.2885439237655605e-06,2.75023763666291e-06,1.7260126665577347e-05,5.220908751839485e-07,4.437594655155547e-06,3.454918402409953e-06,4.039049964785662e-06,6.014186988493737e-07,2.0476032215446407e-06,2.266195321260343e-06,3.539076451073209e-06,1.7593913374201837e-06,1.2670322678013909e-05,2.431780145330348e-06,1.319020454458171e-05,2.0606188158248737e-06,3.1406227243378915e-06,1.580573600774193e-06,3.677237074700975e-05
Layer_4,1.8570672768969322e-05,0.0018210727979821048,3.160724295837224e-05,1.0491600716854467e-05,2.24384860704796e-05,9.13351596570652e-06,1.1753236294895052e-05,1.8531214273198298e-05,1.2494517213423013e-05,1.3832085261463707e-05,8.979393004703992e-06,1.912641322813728e-05,1.4010655486217228e-05,1.8125858311121348e-05,1.5883212662888178e-05,8.212815323126156e-06,1.0754880880597737e-05,7.333528057409299e-06,8.449063392573598e-06,1.6247428821077794e-05,1.7427340453840007e-05,1.1224706208077766e-05,1.4315869067229854e-05,8.683591637004418e-06,9.452511847458249e-06,8.35519598490693e-06,1.7816565223891495e-05,1.3956495522816601e-05,2.314372052584228e-05,1.6846030234823906e-05,1.0690143588079102e-05,9.842946884183197e-06,1.0548581259729886e-05,0.0001540686317878229,0.016637800248760683,1.615212744015874e-05,1.1331467100097466e-05,3.2626108534394947e-06,7.866256912658269e-06,0.000195801752223817,1.733199224224097e-05,9.50515209226398e-06,5.5012526038474805e-06,7.050583389994072e-06,3.914303104387637e-06,0.0002780521442478928,1.0064019832737199e-05,3.213561201757303e-06,2.36478398680982e-05,2.1637344545926287e-06,4.3235280936098836e-06,5.022138224705009e-06,3.540391454317105e-06,2.4588574255882016e-06,7.500512362754864e-06,5.4159510531374266e-06,6.9102354244340765e-06,7.764888365103963e-06,2.0278378836358564e-06,1.030438778385011e-05,6.813436002336873e-06,2.214165392890355e-05,0.00010460229846699973,1.1312382425902932e-05,4.859086150502683e-06,1.8185059729210452e-05,5.353549555050043e-06,1.1730796362308301e-05,2.6745504641167496e-05,1.0645199710583447e-05,3.2539116956590963e-06,2.0447081414150215e-05,3.692446804483093e-05,3.905577503174918e-06,2.079303364191632e-06,9.64316814963668e-06,3.150083983379023e-06,6.7677482254431655e-06,1.400658807662293e-05,5.448048546264674e-06,2.9651062494302007e-06,2.5179963781331007e-06,2.416491133743854e-06,1.2555279612432045e-05,1.9450636245891876e-06,6.8070293005731484e-06,1.2905359692248662e-05,1.0388078857373369e-05,3.521558164702553e-06,4.5758603923000165e-06,9.22694201832848e-06,9.222621924802159e-06,5.704792484040178e-06,1.4720595790136901e-05,7.817482588788385e-06,2.003954049243786e-05,5.329673826476982e-06,1.6589069026212914e-05,2.681502478568038e-05,1.0209352230479465e-05
Layer_5,1.8176060983603584e-05,0.000969117422343876,0.00025293244516213245,1.4910940280573791e-05,7.692707875993993e-05,2.079380811213151e-05,2.9780874553824314e-05,4.3593387606494767e-05,2.180447535237739e-05,4.755388088285384e-05,2.2527722983048662e-05,9.185348281481432e-05,2.554008165377218e-05,2.4867494347644323e-05,2.3360775468337845e-05,2.0229690632400412e-05,2.292371245703666e-05,1.820186910467116e-05,2.4277944350184827e-05,0.00010942534893989667,4.3618245646515344e-05,1.4932119387389211e-05,2.3008363062186022e-05,3.495023538564243e-05,2.0030082397446057e-05,2.3442014667641983e-05,3.26830076415161e-05,6.684619174014999e-05,5.687447367548441e-05,4.972034217528734e-05,1.537391343006929e-05,1.545864066728812e-05,2.5908282164127573e-05,6.0134900558796166e-05,0.0026917593678931215,8.956482611635892e-06,1.2080326385820322e-05,6.043102525797872e-06,4.822936137310326e-05,0.00012173558864217744,5.4600622722808715e-05,1.1729106259871718e-05,1.9596803825425587e-05,7.31380011435922e-06,3.5679931266991548e-06,4.990106099045099e-05,2.117959767501427e-05,2.111887382246918e-05,0.00013408184107133284,1.0872770683757055e-05,1.661797779546696e-05,7.05707337886414e-06,1.6822498297360116e-05,3.4694942120062564e-06,6.562375447299006e-06,5.200024179657253e-06,8.05681559298162e-06,8.945476753364422e-06,5.813353510837867e-06,1.6266561399170857e-05,9.257769777922741e-06,5.00345266231259e-05,8.518806763482726e-05,1.8637813975335466e-05,4.830833222627118e-06,7.130134918742878e-05,1.058403475357934e-05,1.876693422262318e-05,1.725988720346905e-05,9.281399010393209e-06,1.1784195524826218e-05,5.706850902125278e-05,3.946251741950556e-05,1.04361205227345e-05,1.2674577933714699e-05,1.3890983793865805e-05,0.0006698057309964634,7.610103623087797e-05,1.1549804756242482e-05,4.6999856467015054e-05,6.8929371763258805e-06,3.849128094529024e-06,3.585176346730096e-06,1.0607050907114204e-05,3.4587740784167805e-05,6.82207882395908e-06,5.669166400365032e-05,2.1823948845787135e-05,1.3443674369965337e-05,8.612277192079093e-06,1.9541338936289535e-05,9.451279687204958e-06,1.426725479467147e-05,2.0977731603157595e-05,1.0113478899989429e-05,1.1249864982217329e-05,1.4597925555624153e-05,2.817301573621687e-05,1.2291134401467955e-05,2.5166883653162743e-05
Layer_6,2.1205252046972833e-05,0.0002471312353449171,0.00030314640634827205,3.991993583920496e-05,0.0001490843805807304,5.446926313504471e-05,6.526439656416625e-05,9.136472935544971e-05,6.202471905049505e-05,0.0001897193056346678,5.5304279587121376e-05,0.0004540143664483434,7.244392245146803e-05,5.962790561194015e-05,4.7833861373458266e-05,7.522248884019305e-05,8.229155015368413e-05,7.188930977944734e-05,0.0001609248266595688,0.00012996469741903178,0.00013347382000781968,0.00016813549143597295,3.987019105646705e-05,0.00023342194756097032,0.00028696701028551935,4.624960147575689e-05,6.63278003384696e-05,0.00017225173355624664,8.052355883965874e-05,0.0003583201155695153,3.7288625105889956e-05,3.118341363487403e-05,0.0007916951196122342,4.345328117109822e-05,0.0001078448056780364,3.105456730801959e-05,5.166212401451986e-05,2.14028574527525e-05,4.2790692614201854e-05,0.00027536327161956266,6.196819782486627e-05,3.4274559706343804e-05,0.00018808711007025223,2.4162243278338802e-05,1.9244119018974456e-05,7.730126283738148e-05,5.569586656178762e-05,0.00012309766970211363,9.27722736124789e-05,6.565986856879035e-05,4.805685482330258e-05,3.542370435340128e-05,1.7470321856108335e-05,2.6241231398105302e-05,2.1625861043705896e-05,1.0395178918017518e-05,9.850531574980339e-06,9.59985701880265e-05,1.284018132101431e-05,0.0001651675745998376,1.5254660295103062e-05,0.0003356807398834027,6.1003357584291765e-05,2.9117968975153224e-05,1.0664173683799e-05,9.325458856450959e-05,1.8733004392541057e-05,4.3321824459549474e-05,1.2697680521398524e-05,4.0327381887586e-05,1.712419113508723e-05,0.00016612918098123038,8.837090159382562e-05,1.2623791875953184e-05,2.007414285015214e-05,5.523684024343435e-05,0.0006347802429444791,0.00010645016963781729,2.2188350318330664e-05,0.00017198443759980364,1.608853466899219e-05,9.506750034897019e-06,1.2213423619671502e-05,4.444129341486721e-05,0.00039381116925884434,1.2198744964648005e-05,0.00014897338732065263,5.3164728599534615e-05,0.0001579603693383045,0.00011364702442803905,3.4129998418250424e-05,2.0932046802065142e-05,2.6630691896280176e-05,6.965053442379886e-05,1.4050267964194063e-05,2.4294959172391708e-05,2.9950049009532536e-05,0.00014506558049815258,3.765195151530901e-05,5.048613520542275e-05
Layer_7,2.990599913610832e-05,8.115452669276487e-05,0.00019882477235157878,5.229353863562554e-05,0.0001781165138280537,0.00017378089878532826,7.521730628162916e-05,0.00010437121114155919,5.420581130926085e-05,0.0005292283633801978,6.859211729171091e-05,0.00020716466789372651,0.000225643761711691,0.00010229801852803588,0.00014498491148152417,7.913747405561116e-05,0.00010607245701887551,0.00010019163224254075,0.00021857682579181105,8.164063864118536e-05,0.00012745839651974697,9.70719502138736e-05,6.0003187512742375e-05,0.00023711841788289916,0.0001041048403405175,7.180353189860691e-05,0.00010640177437469912,0.002121891069732035,0.0002117650599084861,0.001511342148085731,5.6768408338883475e-05,3.0479650421834922e-05,0.00025174639394739035,0.00010543174312556876,3.522382657342076e-05,4.7731051212702584e-05,5.7152596379523854e-05,8.821618866249991e-05,3.866315605000172e-05,0.00010281670904804925,6.760900253637046e-05,3.3361988363051546e-05,0.00019586959886875013,3.9260161569489226e-05,9.945387289074616e-05,0.00013008954722444345,5.346924286897821e-05,2.3490323287981086e-05,0.00023972285274279228,0.0004010571756160581,4.6379395402261576e-05,6.936124840727803e-05,4.793116708587818e-05,3.0131376165698498e-05,2.4998228425054947e-05,2.631551904593484e-05,2.2134803990756436e-05,0.00011471243361476245,1.0884307094972333e-05,0.0002504746433710734,2.8441636393655903e-05,0.0005721736642292516,0.00011235674310620228,3.618784895564886e-05,5.772624243961998e-05,0.00033962040294710505,5.632907803382531e-05,0.00021558343883254093,4.0993023797000203e-05,0.00020434479621371792,2.3792209641252764e-05,0.00024014485218762493,4.826496843527959e-05,1.7188820795478353e-05,2.496100913146842e-05,0.00023759425856052405,0.00028597754235448747,7.568695421156235e-05,3.149863245397455e-05,8.122101379034288e-05,1.301905801878284e-05,1.1648903719358512e-05,8.588232457013338e-06,7.251071412514087e-05,0.00019053091067930568,1.0083125678092716e-05,6.477525554306768e-05,4.349166770827437e-05,0.0007256885370368844,9.157652896994798e-05,5.241808948727232e-05,6.952040496260532e-05,0.00012603009043446304,0.0002715525713701,2.477044583817106e-05,3.7237952856999605e-05,5.873411447677266e-05,7.341920631046484e-05,0.000205838802286163,3.193480290770581e-05
Layer_8,4.2796472825564985e-05,7.726957274682047e-05,0.00020598488263288487,8.880263734849406e-05,0.0001434976188777649,0.00020245294571302153,0.00010093706470533721,0.00014882966623685253,0.00015093365903763283,0.0005068350683017422,0.00040052936038732534,0.00023085020904357593,0.000838235700663336,0.00015146533779507938,0.0004204431124951877,6.99613919618789e-05,0.00012100108438002841,6.532439109464289e-05,9.292152470647576e-05,9.601679046825548e-05,8.368173688448148e-05,9.575046733266514e-05,0.00013264369505305146,0.000303297024025791,5.836093761230392e-05,8.578954313725002e-05,0.00015095556798447066,0.00013081205839640976,0.00010898334766259938,0.0019089959368822444,6.273794660452252e-05,5.351541144607255e-05,0.00012020072618713223,6.499903608532993e-05,4.348642560236432e-05,8.245879011265707e-05,0.0002104390569380321,0.0004488957541951777,6.357770369119435e-05,0.00020731148628021313,9.885494950007493e-05,4.652244957965321e-05,6.956471540601221e-05,4.09130487743307e-05,0.00023242828047504018,0.00038078351763282114,0.00014650582974039795,2.675145787579006e-05,0.002606741056327241,0.0001214004007449278,6.444651055826465e-05,9.329760829264917e-05,5.541690333471348e-05,2.853563207683152e-05,4.0827271231336226e-05,3.013165226780264e-05,7.033650593096605e-05,0.00010107445403074005,2.918982298134434e-05,0.0001322899910500983,4.6967966013609396e-05,0.0003959407260044278,0.0002039196589066215,8.856615004455242e-05,0.00010312483914276527,0.00015061683972865985,0.0004049598734544209,0.0003517564656041143,6.669045095151205e-05,0.00015380807185920277,4.2890521500045985e-05,0.00027188601135124014,8.470081181422489e-05,2.031792168757172e-05,6.246488179587314e-05,0.00028464333918650067,0.00017213191017876025,7.033359739256894e-05,3.5501937372828254e-05,3.248261257220676e-05,3.5490994422927636e-05,2.6317558934291834e-05,3.291283552103403e-05,7.438940348817247e-05,0.0019240337989137569,1.1634401433264643e-05,2.8176689159455664e-05,6.892491098021899e-05,0.00026926905776329424,0.00011036690980691834,6.98183142497007e-05,0.00015241498945115113,0.00041571351110793756,5.269400526732598e-05,1.8749686920132798e-05,3.8082295757850955e-05,9.032839710447901e-05,5.736580523068155e-05,0.00025413576025430895,3.5373431266805255e-05
Layer_9,1.8805897327793403e-05,5.278935781476013e-05,0.00015619150602847476,9.324013773871676e-05,0.0001709324986574958,0.000309593998936218,0.00011382275120495707,0.00024499057122995694,0.00015500303910257046,0.0004304044218414831,0.0012777571952115436,0.0003152109369222633,0.0011942510063495842,0.0003177288304897517,0.0011093552936376296,0.00011120068315092247,0.00013147029973078955,6.926994701292175e-05,9.224852131147234e-05,0.00011799996399979739,0.00014900718691545004,9.17117494588968e-05,0.00017168434939922206,0.00015865087488072403,0.00010687008394641266,7.082760559778311e-05,0.00021914869428743796,0.00014843739994370458,0.00011839017409697998,0.0022243856554927297,0.0001715899851829301,7.095160328114096e-05,0.0002861191124696104,0.00014063115144343405,7.079099622905202e-05,0.00014570057226471952,0.00027969395085563064,0.0003320405417684924,0.00029107454872411036,0.00011599208617142908,0.00013496618411055453,9.462042847177245e-05,6.731833950732115e-05,4.957711237519815e-05,0.00033052014545896004,0.00026525375319153,0.00016891925042436458,4.998191213791742e-05,0.0007157229133363486,0.00010117264812622904,7.836461026713819e-05,0.00031123624884368394,0.00012046811022848442,3.8247284483095e-05,4.8822739046272545e-05,3.7918345398679776e-05,0.00011803225803846387,7.63887629993821e-05,5.69941152646387e-05,0.0002162216633604577,0.00011490946300600156,0.0003072915092303674,0.00011238675660973152,7.906386119113254e-05,9.041901487957407e-05,4.943516172417617e-05,0.0002287379869964449,0.0001363129986234273,0.00013097960515864315,0.0001261416133365856,4.101337577348355e-05,0.0004303150530839285,7.305795782494452e-05,3.8856705285442416e-05,4.108035856699065e-05,0.0004279828002402362,0.00020094707900852882,6.527802407276794e-05,3.44546698421766e-05,0.00011528182427492826,4.033721610521992e-05,9.824331160916226e-05,3.6219860262195545e-05,0.00017735898261485224,0.0007317312330147776,4.0984953704323474e-05,5.364633444942763e-05,6.157079659922548e-05,0.00030494329967175015,0.00020318973193913254,4.8000315901470673e-05,0.0001158893587830455,0.00038310505039242023,7.437938439924143e-05,4.5466151371275535e-05,4.180148713990828e-05,0.00010072700237461664,9.317253023803406e-05,0.00016529823409762364,5.4395310072282774e-05
Layer_10,6.1096581113881625e-06,3.6612433431242375e-05,0.0001116790984123782,8.306844241936236e-05,0.0002210965692904018,0.00018143332363125393,8.599939115356679e-05,0.0001202909134242178,0.00016478535088373437,0.0003733828357320461,0.0001654418593403583,0.00019677029608999066,0.0001923308001446406,9.812873556754816e-05,0.0003037418921318661,8.198425829426681e-05,0.0001264769831789027,6.503696999294453e-05,0.00010139965437516236,0.00011176158587820386,0.0002545615997108541,5.415467252454831e-05,0.00020884138610387568,0.000176388043037843,7.491520118305498e-05,7.436274196567932e-05,8.686780835057392e-05,0.0001288138970297504,0.00015398494673964555,0.00032960186625648663,0.00019573641175848542,6.815661988156759e-05,0.00014906185753922895,0.0001088779934581415,9.889489843058543e-05,0.00011800468284856798,0.0002561660581960723,7.339425932428867e-05,0.00012558187835953521,0.0001282260796312291,0.00014280611809706694,0.00012071801415755899,4.415275594605783e-05,8.307318342830394e-05,8.543305874661794e-05,0.00015097332321332147,0.00010581748105227444,6.510431060017907e-05,0.0003789649205160865,0.00014023282229962724,8.593844575406874e-05,0.00032858876428256485,0.0005706806569216469,4.230287981066283e-05,3.8598685716983994e-05,2.7205689038585965e-05,0.00011887685132278578,6.96001737766053e-05,4.218385691172381e-05,0.00011467482506847758,6.432572881514152e-05,0.0007195282079036674,0.00018198909461105962,3.2876396628824167e-05,6.258171844361218e-05,8.949243747277283e-05,0.0002902933146186923,0.0001915042523968943,0.00012060099433711002,0.00011769633332448847,4.021462716844818e-05,0.0009371579710122176,4.997153855559032e-05,2.668674260064563e-05,3.441914463632077e-05,0.00018367886468178602,0.0002634693076673371,5.321425550164349e-05,4.423576459657852e-05,2.990954167994699e-05,8.592824303084519e-05,5.729442210148742e-05,2.214850528884306e-05,0.0001990489458286922,0.000462595095476271,9.220376662543619e-05,3.496647573630231e-05,9.327394936315828e-05,9.24959357462285e-05,8.845563096362158e-05,1.9031320341448864e-05,9.861024082624681e-05,0.001014568348720706,0.00011362055660329668,6.11661228851838e-05,2.4022209922069285e-05,6.332628548394121e-05,0.0001075804125839434,0.00012084666705401131,0.00011025752952441374
