Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,15_token,16_token,17_token,18_token,19_token,20_token,21_token,22_token,23_token,24_token,25_token,26_token,27_token,28_token,29_token,30_token,31_token,32_token,33_token,34_token,35_token,36_token,37_token,38_token,39_token,40_token,41_token,42_token,43_token,44_token,45_token,46_token,47_token,48_token,49_token,50_token,51_token,52_token,53_token,54_token,55_token,56_token,57_token,58_token,59_token,60_token,61_token,62_token,63_token,64_token,65_token,66_token,67_token,68_token,69_token,70_token,71_token,72_token,73_token,74_token,75_token,76_token,77_token,78_token,79_token,80_token,81_token,82_token,83_token,84_token,85_token,86_token,87_token,88_token,89_token,90_token,91_token,92_token,93_token,94_token,95_token,96_token,97_token,98_token,99_token,100_token
Layer_1,7.500095564548663e-31,4.0771762512930727e-22,6.268491264563993e-21,2.512231405596685e-19,1.0830744190812425e-20,1.7125670618736005e-20,5.1071658521359316e-20,4.7034295087148846e-20,1.0302682195262322e-19,0.004291845493562232,6.936750651286546e-20,7.803651653699249e-20,7.790823030758636e-20,6.417305496415935e-20,5.938732272471589e-20,3.6235200112375455e-20,0.008264462809917356,5.203429651752844e-20,4.915562592274823e-20,7.447233936281999e-20,3.355233860605567e-20,2.7574516393625414e-20,5.833413276201414e-20,3.7789045769516783e-20,7.535257037876899e-20,1.4745444706162003e-19,4.855496278448032e-20,2.20771044210383e-21,6.279268615692783e-23,8.367046524146207e-24,3.2000038402811126e-19,1.0913256990702565e-19,4.5572973951574965e-20,4.864959343689428e-22,1.2121939984775403e-21,5.885538085223858e-20,1.887805809305394e-21,1.735709625423886e-26,5.682859062338702e-21,3.979215879687471e-29,6.835947153154998e-20,3.2485916128148243e-26,1.4190135305492458e-25,5.092634819764736e-26,1.3595096198414402e-20,9.142353818377578e-27,5.2310825651288594e-31,4.5160546973943435e-21,2.9548260889470877e-21,1.636309451747354e-25,7.705118391212288e-27,4.5160505357999304e-21,7.487600476909513e-21,1.7485068057448394e-23,1.6643446724651672e-26,7.732519800341766e-21,1.351417929830991e-31,2.176708087460475e-19,8.766593385678962e-25,9.713427136955299e-22,8.092319674067599e-21,2.363732599950253e-21,1.3336539120051852e-28,8.065963969594198e-21,5.305075537276216e-25,2.9392359691470123e-29,1.0621168702063279e-20,3.733694570771751e-27,3.2650622023271824e-19,7.656697228028515e-28,3.083725160130517e-26,8.632460236471652e-28,1.1724151081111195e-29,1.6096017636436452e-32,6.504268290253381e-31,1.2328968131145923e-25,1.3215795654260434e-29,6.435128117506064e-35,4.2739900454984064e-23,1.6017905492494444e-27,4.6612426023492323e-26,8.305087371863729e-28,6.597537989427278e-35,5.909324582219829e-21,1.1968874602195399e-27,8.632276557856196e-39,1.5110949180982657e-27,2.970208613528104e-29,9.378575579936854e-36,7.824199021003867e-40,2.765528164360767e-26,1.1925997486161628e-28,1.1528444479497395e-27,2.4878541300825722e-24,3.335277931294313e-29,5.791566553054469e-42,,,,
Layer_2,5.193709626609967e-07,1.655381207373307e-09,1.165832431469849e-07,1.2289725776944837e-06,4.1639977364833693e-07,1.6061477110106935e-07,7.454885374264401e-08,5.606994992435554e-07,1.0530000392290646e-06,1.3751173824747282e-07,0.004124802115042413,1.8125048018195025e-07,2.1434518798310852e-07,2.6647335475291173e-06,5.587942081306022e-07,4.0868232619401157e-07,4.214119716366034e-06,0.007558053228170675,4.271828899355441e-07,4.670142753282216e-07,1.9156256151735047e-07,6.902978599506297e-07,1.8837107186885971e-06,8.456396974852721e-07,2.380184767229173e-06,1.200459333131983e-06,5.245314203863386e-06,3.205380591677077e-06,2.9051843884424606e-06,8.98979060726345e-06,1.3196596872762122e-06,1.253833113289437e-06,8.889674472670673e-07,1.614582449428184e-06,5.7385833749951636e-09,3.1252100946563287e-06,4.8926472830633e-07,8.712947976201289e-07,8.313536621520957e-08,1.00572343719142e-06,5.231242867445516e-07,1.689916697510977e-06,5.371447320415501e-07,2.080758339427269e-07,1.847743674655266e-07,5.091792530039177e-07,1.1400536351798742e-06,2.1637544922425932e-06,4.623499916557295e-08,7.814490130831547e-07,3.6878547988033497e-07,1.8469781216689536e-06,2.2643414977272444e-06,4.541802880769171e-09,1.0221146298427673e-05,4.6947862711901955e-07,2.236151509410942e-07,8.043456254741062e-08,2.468865398359341e-07,2.6445269857486554e-06,3.983162216669526e-07,1.9421318981290407e-08,4.114541562853481e-06,1.857421224183795e-06,1.8673269772162543e-06,1.4726009251446654e-06,4.3433816142748654e-08,4.236273390314044e-08,1.478123541390452e-07,5.139847721588285e-09,1.153531003640357e-06,6.568033804343573e-07,1.4001655431894177e-06,3.3987981302604315e-07,2.5387226115498264e-06,5.799752912170176e-05,1.3346673519302711e-09,8.459774078417901e-08,1.1288160696979868e-06,3.217588274566008e-11,6.362748636762422e-08,1.1422278656330285e-05,4.520636318149931e-06,4.630148710027879e-08,1.4153513320475892e-06,1.1464776565416716e-07,1.5016010694973819e-06,1.5819552776507277e-07,8.983207699226389e-07,7.783989425512798e-08,1.4543620728230935e-06,1.2827165901239803e-07,2.8143452917198712e-06,2.8444666021734894e-11,8.136646832588589e-08,1.8034824361316353e-06,2.527359843679764e-06,3.847476601481351e-06,2.322370010061252e-06,1.228518696710815e-06
Layer_3,8.202591801686585e-06,1.0071290778809926e-06,2.6716098402635108e-06,3.5480022851445956e-06,1.1448588450350978e-05,1.0196537221825917e-05,6.886551933139985e-06,4.550109032221326e-06,3.932966680979555e-06,4.170609645538908e-06,0.003726864360537385,1.4798084036229142e-05,1.6703536000167796e-05,1.2085346002849782e-05,0.00011366869131755128,2.432443977045536e-05,9.171865958409906e-06,0.006987963094802382,7.323957539223681e-06,8.59754995142544e-06,6.673970484386167e-06,6.343105663862418e-06,9.022454262532097e-06,4.581226224212691e-06,8.744397742707088e-06,1.3633578207803509e-05,4.074624523876651e-05,6.294925954286034e-05,7.091299944510366e-06,1.9606119127675398e-05,4.9813510806032576e-05,6.156779214207644e-06,2.852163593719239e-06,3.959896377422695e-06,2.610467104546634e-06,8.102919702358777e-06,2.0451793968528725e-06,2.4754772361292358e-05,8.992098789461472e-07,4.132010002794184e-06,5.441726145052577e-06,1.1234524372131323e-05,3.089368819891696e-06,3.0034862791791886e-05,6.60920031485374e-07,1.198392528393644e-06,1.816878482170639e-05,3.621834944989121e-05,2.0105437637433715e-06,9.82555167226059e-07,8.208010802107372e-06,2.027627443049842e-06,4.471626163659407e-06,5.92196059386255e-07,4.1681471176557334e-05,1.5078127702471334e-06,7.99170901282561e-06,4.126689039874464e-06,6.347136394787948e-06,6.89661702637269e-06,1.8388925387509698e-06,2.7034721945318894e-06,2.923278356258569e-06,7.890952348556426e-06,2.6883750582926384e-06,9.533004956755e-07,1.592764966643351e-06,2.661398000348549e-06,6.462016307042656e-06,3.130882424604389e-06,2.500779495892282e-06,3.123357489745658e-05,1.8673943134308013e-06,1.9767370420369196e-06,2.8106704769623434e-06,7.755457960387887e-06,5.5171301935060825e-06,1.0092084617274657e-06,6.370038609674317e-06,3.2090225531112557e-07,4.964726233066174e-06,2.8510998785089387e-05,0.00010448430946987923,4.476983275151978e-06,5.358506121611737e-07,1.8376795165294934e-06,1.2301375570138518e-06,4.2245935717520163e-05,3.52630313612921e-06,3.0231685060239444e-06,8.959723546567245e-07,3.241472924464229e-05,3.4405147900310065e-06,3.0906885417450508e-06,5.152805930713221e-06,2.9506276480567564e-06,4.620791412343518e-06,6.108326270302052e-06,4.287964737609008e-06,1.9977169627422608e-06
Layer_4,1.235860750031809e-05,6.901786955553001e-06,1.3848080041354167e-05,4.628937045418683e-06,1.0803128480126743e-05,2.302772978153631e-05,1.0298996336659987e-05,1.9076233650002657e-05,8.396919102153154e-06,1.2288775240077926e-05,0.002294410293137577,1.6672219157639135e-05,5.856423315577207e-06,9.804842607891612e-06,0.0008513617978867946,3.979097466132065e-05,1.6610344961164284e-05,0.0014218974568645103,1.1224191849489438e-05,1.2496827490483048e-05,2.269431835900693e-05,7.036188813737222e-06,7.7576151976982e-06,1.168125219195848e-05,3.2599752703953214e-05,2.65838343649699e-05,1.942026792411396e-05,1.7762756592931467e-05,1.3145378460680225e-05,1.7245974756293414e-05,3.210240540701263e-05,1.126213868682038e-05,4.645991859092927e-06,9.783937649445693e-06,7.899593362731321e-06,2.7149530449476272e-05,5.204714369626862e-06,9.26594614400251e-05,1.3508032696918666e-06,3.1832430273974336e-06,1.175642992947621e-05,2.790303777019382e-05,1.417352835580233e-05,1.237415057354268e-05,1.9803044229199587e-06,1.9790713148110833e-06,2.6534226857080075e-05,1.2733927811103393e-05,2.18552965656481e-06,1.5543777352303986e-06,1.3255044557093403e-05,2.5007727951155894e-06,1.4226284510819718e-05,4.846326936639188e-06,1.7659070162172077e-05,3.039808728556147e-06,1.1004042972211874e-05,5.799493641296638e-06,9.421851565525033e-06,5.446057601491618e-06,1.3443139039159799e-06,3.3789175778310034e-06,1.808664598813311e-05,1.1595517876498253e-05,3.730367692988337e-06,3.8052375580123176e-06,2.625832790504549e-06,4.1783886350190735e-06,4.584998028614751e-05,1.9716343667026364e-05,7.791714089708145e-06,3.4518819155336916e-05,5.1791215117487135e-06,5.379925944081241e-06,9.30892977719878e-06,3.335280083659918e-05,2.4836411464379632e-05,2.0807850087735828e-06,2.3406240570044014e-05,2.6901584795062546e-06,2.1182274253677322e-05,4.7300447041929385e-05,0.00010568111668256542,9.058262519801188e-06,1.0988187815807734e-06,3.818233080128899e-06,2.9650258491568883e-06,1.3283174332730636e-05,4.239451950050322e-06,1.2342036761696734e-05,6.9921611422468775e-06,1.1936353933390461e-05,5.703689410798931e-06,1.671753809516392e-05,3.1886028553264564e-06,2.5817520543693537e-06,6.039687624347244e-06,7.416325162753455e-06,6.064666092583937e-06,2.2729181325001433e-06
Layer_5,1.4653467393665057e-05,3.271608196683888e-05,0.0001015549171873514,2.3136856311571236e-05,1.7121184011952818e-05,6.023874665127542e-05,1.618226202017494e-05,2.3600047054726758e-05,2.314756635464158e-05,1.790909739393554e-05,0.002479646768712503,2.5717768437125476e-05,7.484512963797222e-06,1.5483920962822264e-05,0.00023771504947530625,6.827069029528068e-05,5.986193597601451e-05,2.2593446869698355e-05,5.104180890021191e-05,1.4865451650247198e-05,2.8905613005381016e-05,1.1367928879375679e-05,1.2315266572251642e-05,2.243739605923106e-05,5.0808494152360096e-05,0.00031766572605472943,2.2845060578573254e-05,1.820832594802064e-05,1.347704730055805e-05,1.9257723496433593e-05,4.6017422805221684e-05,1.515432080609574e-05,9.363323253274344e-06,1.2254781081262865e-05,1.3903356811414437e-05,2.0260804938297486e-05,8.516783337074577e-06,0.00020271765985102337,1.66930557095791e-05,1.1901682449775089e-05,2.2327919150671578e-05,2.5505851998783157e-05,6.013058771282343e-05,2.0843213565970583e-05,7.117552955572782e-06,7.555688304137038e-06,3.7224973188128745e-05,7.569960871843067e-06,5.638971640376066e-06,3.1630040168944314e-06,2.8918613635649038e-05,6.833057256764545e-06,1.3428803626835107e-05,2.0520629288378852e-05,1.072389043660138e-05,6.876535748712165e-06,8.376016811881825e-06,8.643744456115016e-06,2.1335517624064127e-05,1.338493523786707e-05,4.81350748699937e-06,5.296890099788345e-06,5.9096424177017646e-05,1.3010119155780107e-05,1.7090194549611177e-05,7.916256676238834e-06,6.952416513646269e-06,5.624492016791736e-06,0.0002042127822385898,1.2092262055621173e-05,2.0960062642271178e-05,2.1578167006273013e-05,2.5526683508936715e-05,3.625819036290951e-05,7.383247798733842e-06,3.302593707989759e-05,1.4355557459410541e-05,4.885729848645796e-06,2.1803830650583833e-05,1.3912717327667357e-05,4.785474764380145e-05,7.895361478731695e-05,5.9641968194513806e-05,1.686735541817284e-05,4.142810292696665e-06,2.602346623857234e-05,6.696912549636763e-06,3.9856789092951747e-05,1.539828370950939e-05,2.664561682852451e-05,1.6842284605900203e-05,6.633932549982013e-06,1.0200950789062012e-05,9.267148638839965e-06,1.0611623524485006e-05,8.508220639037569e-06,8.772118037983193e-06,2.008459947250913e-05,1.5806430788245507e-05,3.844869127966888e-06
Layer_6,2.697885826048298e-05,6.027539658041353e-05,0.0001453081009097947,5.494201123135223e-05,0.0001521391406925262,0.0001550427977612929,5.2218845692998114e-05,7.268330540464376e-05,8.151166699115565e-05,7.321666702006861e-05,0.002617175438964334,6.879327779687587e-05,3.891539663560957e-05,3.190715453494465e-05,0.0003801860036128257,0.00011282268994646245,4.822786329518145e-05,6.817402545542393e-05,0.0001212709308319367,6.065951171061221e-05,4.2631332156399064e-05,3.632789145350224e-05,6.278252214947316e-05,7.284493685692831e-05,5.885037481471284e-05,0.002046057857017387,6.409816386643886e-05,2.8146199351734953e-05,2.3915081244262014e-05,0.0003730309287801001,5.622522581442505e-05,5.3984737285388507e-05,2.0190985203967966e-05,7.773364573299726e-05,2.4881473526653115e-05,0.00010619167102503143,3.253510031508472e-05,0.000247996834917456,0.00015213768521574392,2.9870301147560953e-05,3.111444582460675e-05,5.187712998078771e-05,0.0002550152392152433,5.762133707257725e-05,1.863773128279684e-05,3.6728441943407134e-05,9.30183226008315e-05,1.4208043292567077e-05,1.6720813436573883e-05,6.706516070360229e-06,0.00014656024423130378,3.4981702542933946e-05,2.744054787115693e-05,3.3372257729497464e-05,2.2548147638872253e-05,8.0316038008732e-06,2.607860391833583e-05,3.0446526523870794e-05,0.00017139022228350153,9.172053707344348e-05,1.3886897992744128e-05,2.228933504643361e-05,5.4144878211688635e-05,2.641946863207229e-05,0.00016346820264765617,2.5701869577590937e-05,2.7016857212009366e-05,7.098543673025112e-05,0.00021645989767532249,0.0003864567697924315,5.85489588496258e-05,5.099338356354852e-05,2.9870543191835635e-05,0.00018505169009270302,2.9160674449880227e-05,0.00014020586840585484,0.00013040876292143533,8.040147856406864e-06,8.068638355696045e-05,6.952782750913045e-05,3.708262790003876e-05,8.453651697745304e-05,5.567996034626178e-05,4.33132476290256e-05,9.953045543520389e-06,0.00011418268852681789,2.263478014824089e-05,0.0007010449457753181,3.7604017109060806e-05,7.726311234061238e-05,9.307564873779483e-05,2.0980876821852235e-05,5.477630174431801e-06,3.8949817545288726e-05,3.9138372020235896e-05,1.0732406094702026e-05,1.8195777638791493e-05,1.9716829393069525e-05,1.672509780803466e-05,1.303148711429003e-05
Layer_7,4.0008637024545303e-05,4.050294319462602e-05,0.0002597431588653903,6.213771062106948e-05,0.00010551326705358835,0.0002500284952342384,7.857057494460001e-05,0.00013218633624407272,0.00013625540745788615,0.00011377807758698479,0.0011697117626715008,0.0001230998142971394,4.8776878741614666e-05,0.00011268630679414788,0.0002939700768124233,0.0001529984092956127,0.0004134448758650866,7.616011486285512e-05,0.00017201627660412555,5.070217594469422e-05,0.00010791989998899626,0.0001028695725127709,6.69579269697976e-05,0.0002076212649618374,6.792329567910438e-05,0.008424794532289481,0.0001554889748070123,6.082200958641255e-05,5.119078941843767e-05,0.00023800202431054028,0.0003050768881354839,9.457606585420604e-05,6.096699858323026e-05,0.00018986572141956303,7.445821820462524e-05,0.0006332849573532942,3.77651932572059e-05,0.00030872850847174504,0.00018366887652047543,0.0002355629714664076,6.051781304796723e-05,6.552806606551162e-05,0.0002388642962961746,7.151424750873048e-05,2.631386101830244e-05,0.00010542067043075384,0.00042555312557321183,1.2165916985675895e-05,2.365568719677112e-05,1.7620720336302448e-05,0.0022022028408019067,4.1706076316927465e-05,5.5591481640249185e-05,2.636519137793742e-05,2.9735456990920284e-05,2.4269058985737502e-05,9.38201737176314e-05,3.0714078409797296e-05,0.0001606354131302916,8.775508245277437e-05,7.905877371298816e-05,6.165962246029721e-05,8.937406740469359e-05,9.983921149951543e-05,0.0001775212287511026,6.119212705677704e-05,4.5018623106846626e-05,0.00016139693922570783,0.0003213922310362163,0.00019285818300916548,9.981413626666094e-05,5.6967927699696175e-05,5.3233136120629874e-05,0.0014886689219236378,4.0317476917592515e-05,0.00016459168531004226,0.00019330511658043794,5.213007832046114e-06,9.97733157852565e-05,3.4967190536860926e-05,0.00010779924827488684,0.00013800635310547347,3.625309412720006e-05,0.0005070350899083158,6.331665569498617e-06,0.00010358771692372451,2.9274468500462856e-05,0.002535788785105699,4.4107616095819445e-05,8.477326198885748e-05,0.000649445118665426,1.4734140501104776e-05,1.8242549790177993e-05,7.685392314568971e-05,2.291404601982726e-05,1.90270985507526e-05,5.0406192283642464e-05,2.4801639357166197e-05,1.9542847027764765e-05,2.0732933549538757e-05
Layer_8,6.277013463564706e-05,5.105372990671269e-05,0.0004257627204193462,7.43502865275818e-05,0.00012063523490998507,0.0003709249994855483,6.798994132362407e-05,0.0001398619315399521,0.00013084998838668683,0.0001386455905009983,0.0007101380891878875,0.00020871306080997876,6.064304576432445e-05,0.00026656831029841165,0.00019479255587435368,0.00027579759183043003,0.0004408062894089899,5.9662949650392726e-05,0.000360555171330527,6.623257071193336e-05,0.00013394365400876446,5.630055637902898e-05,6.31283840937564e-05,9.198194916848479e-05,0.00017837162121867695,0.009921769819235657,0.00016074061882852752,8.722182852301658e-05,7.29067721087334e-05,0.000267205883431857,0.0006340340654014355,0.0001919857556182832,8.709199861230606e-05,0.00016436549737634663,0.00021159765962463104,0.0005615090029739246,5.9546141845052084e-05,0.00043058031601517764,0.0002247214316563403,0.00010771583646729255,4.30907790802283e-05,0.0001026243262466072,0.0003654596889820955,0.00018696584290396273,4.625941545576077e-05,0.0001452975241937276,0.0006602138566014067,9.886706233798208e-05,5.873787827554671e-05,2.05433838240359e-05,0.0013605290214237747,4.221597438304668e-05,5.9393817586248166e-05,3.25832742618104e-05,3.366452672196374e-05,4.888295537057274e-05,0.00010626030032710787,2.4311031093243006e-05,6.793827326443692e-05,0.00010485651205013627,0.00013158459578509576,0.00010532056280190069,0.00013672488350638642,0.00015692702762234748,0.0003827133783638394,6.886057074433955e-05,3.8883907989047245e-05,7.31788948954527e-05,0.00028680968373572837,0.00047513342314685147,0.00010103264572523442,9.207789965833064e-05,3.1312914362570754e-05,0.0024991175160569887,6.685046478798326e-05,0.00016353968058524515,0.0002059636622677588,6.282172535901843e-06,9.156822934919262e-05,1.8931282671275085e-05,0.00038499908381102915,8.539820560469837e-05,2.568142243067736e-05,0.0009403963139870289,1.0038497994254872e-05,0.0016973739149126305,5.910912545805157e-05,0.0019000821478479897,6.479589065004158e-05,8.812292450481134e-05,0.005144099621418263,2.709355246111045e-05,2.6340856417543062e-05,0.0001076675585207138,1.7741730873568587e-05,1.45434396598729e-05,3.939702968283301e-05,3.6994688444893756e-05,3.0665354060488426e-05,5.884094878183532e-05
Layer_9,2.688707574382628e-05,4.027463720574049e-05,0.00036551051738214395,9.673623349983864e-05,0.00016048296652710934,0.00013326633455898514,9.614899590480253e-05,0.00016809352529863786,0.00019320848784136339,0.0001790950722355473,0.00031777829866919035,0.00033095961803611873,9.407491971953562e-05,0.00016524314952686564,0.00040057096661687746,0.00015894229363364143,0.00026018617607035115,8.294229234257438e-05,0.00013120460833846437,8.987503046510666e-05,0.00015205522834378372,0.00011396953810682072,0.00016599494285906026,9.957161721519603e-05,8.474615190566328e-05,0.005720984003813301,0.00021476749554507805,8.799366741144993e-05,9.740529731015701e-05,0.000523407209654759,0.00029564980982156575,0.00016972181801068963,7.473364575775558e-05,7.694051440137899e-05,0.00025287468138763056,0.0006262838676282068,0.0001699190069081944,0.0003032329073482604,0.00018172949628423362,0.00011940711049334141,4.234511252084653e-05,0.00011066292626606498,0.0001791680435764426,0.0003838965789865531,0.00011046808220976596,0.00011006136862657844,0.00058287238046546,0.00014463674610611625,3.617345782253827e-05,3.1475162745867434e-05,0.0006812616555050356,2.8753040018005193e-05,5.070758578485678e-05,8.959122386023374e-05,4.595082699438535e-05,0.0001145081846220819,0.00028706519306979315,5.3944566648466285e-05,0.00010959143892046828,0.00012669483639497642,0.0001327122260535289,0.00024766178772882665,6.647073437352188e-05,0.0005851948041608198,0.0003556592162758741,7.543603577434251e-05,5.813499443392671e-05,0.00014696733188915542,0.00015438109845772053,0.0022324391250338393,0.00011138857487636462,0.00019659320044913904,2.7639959075474363e-05,0.0014526677930967304,5.68386082758319e-05,0.00029085958614834506,0.00017553834414778014,2.8300818666129062e-05,0.00024378792236667834,3.248714808634645e-05,0.00026339383626539835,0.00011460774653317327,1.7289669723855434e-05,0.00015701252657355065,1.82213521903967e-05,0.0009240936874164163,0.00011255957334609635,0.001724566226864856,3.783042856753127e-05,5.96753535641407e-05,0.005829593122064125,2.2132010667519352e-05,3.557522491822359e-05,1.656864059719333e-05,1.7415344233187272e-05,2.197636716358728e-05,0.00010723384179477257,2.7394105068702225e-05,4.388954163303538e-05,6.602049342774308e-05
Layer_10,9.407721052309167e-06,3.6374024491839574e-05,0.0002042719452843703,0.00012385447333779925,0.00011045340420604442,0.00017868555473333692,8.94366165174876e-05,0.00016538690343356969,0.00015076166677408228,0.00013595340408508247,0.000268249171624105,0.0003464833010914824,0.00010646010658317494,6.833589402609709e-05,0.00024405340007083043,0.00020262556402027472,0.0001396875227955969,7.07105074293636e-05,0.00019359878805692195,7.274712919883388e-05,0.00012357895602521228,0.00011199670394042719,0.00016278949623089173,0.00014405898756033418,7.806442524447394e-05,0.0035653817639581045,0.0002834338393862988,7.356298834694668e-05,9.688192564088501e-05,0.000652921578322475,0.0001815851012085695,0.000136205484944588,7.677694161412063e-05,8.859610138848496e-05,0.0001271687120422823,0.0004881187383475417,0.0003173487592404585,0.000530766873748412,0.00010217178538318987,0.00014152846211779035,4.432901913531122e-05,0.0001272730797971259,6.310849401007249e-05,0.0004774589420387395,0.00014981950403334648,0.00012734302214570644,0.0003128679548903316,4.516523739980506e-05,3.947130142734068e-05,1.996571501803958e-05,0.0003491941542555261,3.387938702254749e-05,8.106692516426287e-05,0.00013759978513132426,2.9103829269843118e-05,5.4348169952618265e-05,0.00017620587023230882,4.8405137628324354e-05,6.097494368772083e-05,0.00015396574403713328,0.00015587855600461933,0.00015536903010500552,6.831503005276896e-05,0.0005348850745460512,0.00022105889151320795,0.00010056507276410478,5.890606670081152e-05,0.00010705737972733169,0.00027399818749191106,0.006704662660256743,0.0004168740808148342,0.0001571254466550966,4.363995699469868e-05,0.0011305697317677893,3.412191446560588e-05,0.0004890156629993298,0.00011514713658718446,1.4947847240040011e-05,0.0002535279738804519,4.1357503269168205e-05,0.00022165393564440214,0.00016078656783439068,4.933703428378067e-05,0.00020532505341667014,2.894272394980492e-05,0.003475894021660836,7.674695146201535e-05,0.0005336069918415048,2.8888444357259384e-05,4.355166801891149e-05,0.0003319655220025197,1.544382442375536e-05,2.3393931036884573e-05,8.163085034438054e-05,8.164188449831676e-06,9.756450809719456e-06,0.00010188262578796841,3.584075464068014e-05,5.559305934355052e-05,0.00011113102125381857
