Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,EOS,Mean
Layer_1,0.0019224322,13.663162,18.662844,17.652332,17.656897,16.633707,19.144201,16.526608,14.675675,17.392807,13.949231,12.392086,13.614196,14.7665898794
Layer_2,0.16793668,9.315989,11.410888,10.195214,10.107622,9.573098,11.0836735,9.387633,7.999014,10.245761,8.420551,7.4011073,6.796908,8.623491959999999
Layer_3,0.016379975,6.2238793,7.314251,6.9355664,6.8601947,6.181433,7.780966,5.9704223,5.2491918,6.71101,5.410793,4.3238072,4.639122,5.6628474365384625
Layer_4,0.024134295,2.9029305,3.528722,3.826747,3.818748,3.5295432,5.097726,3.1123245,3.011051,4.4010315,3.5719445,2.3089623,2.896255,3.2330861380769234
Layer_5,0.030875282,1.1650182,1.4785438,1.8029996,1.6531073,1.8523018,2.911559,1.5354729,1.6768163,2.9163527,1.9438896,1.5492221,1.5251721,1.6954869755384616
Layer_6,0.033601146,0.59712946,0.7774751,0.9338313,0.88599724,1.0348796,1.2432191,0.7905426,0.9658669,1.4442642,1.2163854,0.91313267,0.82281184,0.8968566581538462
Layer_7,0.032494996,0.4874319,0.63871074,0.78179824,0.7833127,0.7862951,1.0174816,0.726646,0.83359367,1.0963306,1.0177277,0.7664306,0.73411787,0.7463362858461539
Layer_8,0.037264004,0.42204404,0.6059828,0.71648884,0.7237223,0.7328987,0.87506664,0.6945513,0.68852705,0.8153529,0.80651265,0.7323777,0.66980654,0.6554304203076923
Layer_9,0.045906134,0.4532356,0.6131252,0.70797366,0.7083063,0.71639293,0.80620617,0.68413997,0.6877184,0.71068156,0.75423956,0.74058604,0.67967606,0.6390913526153846
Layer_10,0.05704372,0.4693567,0.61176056,0.7006731,0.72475475,0.7027578,0.7928158,0.70457524,0.7014304,0.68277633,0.7656103,0.8171371,0.6834033,0.6472380846153846
Layer_11,0.06962116,0.4710196,0.61290103,0.6897997,0.70706236,0.7013053,0.8032435,0.7329941,0.71517223,0.69420576,0.74341804,0.78315693,0.6893731,0.6471748315384614
Layer_12,0.07738826,0.4899414,0.6123188,0.71579397,0.69384277,0.75381666,0.74795973,0.702545,0.6987302,0.7087442,0.76384044,1.0578182,0.67385864,0.6689690976923077
Layer_13,0.11362787,0.56502545,0.647221,0.7242635,0.69922423,0.79700667,0.73824096,0.7219626,0.77804625,0.7207636,0.8888261,0.9819624,0.700918,0.6982375869230769
Layer_14,0.13820593,0.61679393,0.68732274,0.7813456,0.73319936,0.8468353,0.7821313,0.7798082,0.8398896,0.8756148,1.1004052,0.94661915,0.70777816,0.7566114823076924
Layer_15,0.22365426,0.74122334,0.7364341,0.8470517,0.8612832,1.2464569,1.0023978,0.84872586,1.0668004,1.2836204,1.3024057,1.0364338,0.8312695,0.9252120738461537
Layer_16,0.31359214,0.84524417,0.8223108,0.92269087,0.95704776,1.3548018,1.0553313,0.9233497,1.1879567,1.5035881,1.5593055,1.2741039,0.93329513,1.0502013746153847
Layer_17,0.40930918,1.0596348,0.98913366,1.1182395,1.4460603,1.6285801,1.2224343,1.308052,1.2677841,1.4516218,2.2418196,1.3065385,1.0432212,1.2686483876923078
Layer_18,0.58885586,1.8159779,1.1566362,1.726015,3.1907146,3.1878984,1.8936497,1.6060597,1.8201671,1.6397722,2.466565,1.6638448,1.2394493,1.8458158276923073
Layer_19,0.748467,2.1930187,1.4712313,2.6619728,3.2252955,3.395587,2.883819,1.9805611,2.4187763,2.8033507,3.4168413,2.1648917,1.510645,2.3749582615384615
Layer_20,1.0642753,2.7689624,1.9163235,3.012844,3.738249,4.4498363,3.4365394,2.4725025,2.575311,3.2134376,3.180169,3.2169676,1.8494029,2.8380631153846156
Layer_21,1.492758,3.056179,2.9679058,3.5464683,4.174777,5.1227064,3.9756992,3.1701643,3.5321088,3.2655535,4.3626924,4.203807,2.2175207,3.4683338769230767
Layer_22,2.2433112,3.6663005,3.1932855,4.427628,4.598596,5.405043,4.6056943,3.6976511,4.658473,3.703283,4.909411,5.16092,2.516743,4.060487661538461
Layer_23,2.474881,4.035486,3.6378171,4.964679,5.0343437,5.676896,5.238802,4.2923007,4.999404,4.5280886,5.903188,4.671546,2.773204,4.4792797
Layer_24,2.5911715,4.110061,4.0037713,5.2933116,5.520564,5.639896,5.016303,4.4734964,5.17084,4.7782288,5.2726293,5.070226,2.9369123,4.605954707692307
Layer_25,3.0600724,4.841063,4.6458025,6.339821,5.712788,6.5577197,5.8393197,5.250786,5.8489075,5.6138496,6.224592,5.228697,4.200297,5.335670415384616
Layer_26,3.2397816,5.4797,5.4762993,6.3490562,6.439751,6.7139125,5.973415,5.8365054,6.434306,5.7733517,6.806067,6.2267103,5.444801,5.861050538461539
Layer_27,3.0384974,6.057683,7.5620265,6.931795,6.6204133,7.1549,5.849499,5.786029,6.4070597,6.204501,6.604635,7.183531,6.4824715,6.298695492307692
Layer_28,2.5493867,7.934535,8.8844795,8.33175,7.284454,7.3234386,6.187485,6.267063,6.4161754,7.0908585,7.5071006,6.8002586,8.809273,7.029712146153847
Mean,0.88872916,3.0874295,3.4166255,3.7013624,3.770012,3.9178555,3.8573172,3.24941,3.3330283,3.6524577,3.6825287,3.2472458,2.8079255,3.2778405584615387
