Layer,1_token,2_token,3_token,4_token,5_token,EOS,Mean
Layer_1,0.0016970853,10.104224,10.6631975,5.649837e-07,1.4662003e-21,12.3550825,5.520700275047283
Layer_2,0.16221549,7.4625034,6.3332105,5.4202123e-05,4.40375e-12,5.502426,3.243401598687901
Layer_3,0.016097339,5.4315944,4.260895,0.0031067466,2.194676e-08,3.835797,2.2579150845911267
Layer_4,0.024466755,3.1702754,2.5649562,0.00590247,0.00013728277,2.3546326,1.3533951179616668
Layer_5,0.030834235,1.063511,0.915032,0.015519149,0.009576781,1.1859587,0.5367386441666667
Layer_6,0.032754872,0.4247365,0.52527106,0.03235845,0.02625399,0.7223857,0.29396009533333334
Layer_7,0.031874713,0.3294205,0.3642668,0.04447464,0.02669352,0.68372697,0.2467428571666667
Layer_8,0.037213575,0.26682484,0.35058236,0.06840864,0.038132027,0.6406861,0.23364125700000002
Layer_9,0.04680418,0.2894586,0.3759801,0.11586761,0.06253525,0.6597742,0.2584033233333333
Layer_10,0.056738112,0.31402102,0.37795728,0.16221346,0.0841735,0.7013996,0.28275049533333335
Layer_11,0.06970244,0.29591635,0.3750794,0.17259012,0.119136766,0.69607973,0.28808413433333335
Layer_12,0.07311879,0.30465415,0.36535633,0.22023705,0.13844153,0.65635014,0.29302633166666664
Layer_13,0.111753486,0.3460159,0.3911427,0.2817716,0.18680273,0.6622594,0.329957636
Layer_14,0.122944444,0.3633968,0.38608,0.2657795,0.19926961,0.6513281,0.33146640899999996
Layer_15,0.16398792,0.433429,0.40216252,0.26424685,0.20448804,0.69462866,0.3604904983333333
Layer_16,0.23087955,0.4458259,0.39815778,0.24672712,0.22150534,0.7627046,0.38430004833333337
Layer_17,0.31520268,0.6406452,0.47421676,0.33828983,0.29868504,0.8796427,0.49111370166666674
Layer_18,0.2759062,0.87376356,0.5374274,0.36229292,0.47355175,0.94276315,0.5776174966666666
Layer_19,0.260985,1.2904596,0.5870092,0.8801001,0.56406343,0.9791622,0.7602965883333334
Layer_20,0.4078745,1.736516,0.6356383,0.7162347,0.7170092,1.2754788,0.9147919166666667
Layer_21,0.65707666,1.5335144,0.64834857,1.2202318,1.3334267,1.2287793,1.103562905
Layer_22,1.1491369,2.1025994,0.70234734,1.1035058,1.2408888,1.4728203,1.2952164233333334
Layer_23,1.8806701,2.2997704,0.810686,1.0195941,2.09311,1.869566,1.6622327666666668
Layer_24,1.5442775,2.249265,1.8729398,0.75337183,1.8382406,1.9197696,1.6963107216666666
Layer_25,2.1596348,2.8220394,2.3374505,0.96386415,1.9113517,2.927725,2.187010925
Layer_26,1.6660694,3.1116874,2.986064,1.2178762,2.6682634,4.1892676,2.6398713333333337
Layer_27,1.2016543,3.6386032,4.373377,0.9029452,1.2108737,5.7111564,2.8397683
Layer_28,0.8286522,4.8884006,6.796694,0.95402485,1.4490573,10.422392,4.223203491666666
Mean,0.4842937,2.0797524,1.8504115,0.44041398,0.6112738,2.3779907,1.3073560133333333
