Layer,1_token,2_token,3_token,4_token,5_token,6_token,EOS,Mean
Layer_1,0.0023889984,15.912003,17.88907,20.490877,13.014681,21.58852,13.515177,14.630388142628572
Layer_2,0.1857374,11.161157,10.173375,12.026913,6.23071,14.773039,6.6092973,8.737175528571429
Layer_3,0.01590299,8.084636,6.7611785,8.5617485,4.1680813,9.673842,4.350277,5.945095184285714
Layer_4,0.024388561,4.0336576,2.9306214,5.271329,1.1109302,5.099859,2.7150567,3.026548923
Layer_5,0.031630762,1.5512,1.084408,2.0497637,0.8450147,2.5222716,1.6224039,1.3866703802857143
Layer_6,0.034615386,0.5637025,0.76527864,0.92766505,0.71492636,1.2751236,0.9947853,0.7537281194285714
Layer_7,0.03319163,0.4676043,0.7547734,0.80546963,0.733693,0.6552897,0.7368598,0.5981259228571429
Layer_8,0.037927747,0.41923046,0.6558149,0.7574141,0.6923412,0.7390317,0.6574842,0.5656063295714285
Layer_9,0.04713298,0.4466366,0.62999195,0.7656649,0.7190656,0.9408199,0.69367296,0.6061406985714285
Layer_10,0.057592668,0.4537343,0.643784,0.75245535,0.7419938,0.68417823,0.6869492,0.5743839354285715
Layer_11,0.07244676,0.43546355,0.6347027,0.77309513,0.69080234,0.5901315,0.68108624,0.5539611742857142
Layer_12,0.07539261,0.44097984,0.60623735,0.72588253,0.6284181,0.61893535,0.6564119,0.5360368114285715
Layer_13,0.10274143,0.4878588,0.59220976,0.7202734,0.60907114,0.71205366,0.67522246,0.5570615214285715
Layer_14,0.113785036,0.5268048,0.5890885,0.71682835,0.58316153,0.6551751,0.66900367,0.5505495694285715
Layer_15,0.17046082,0.5795297,0.6342637,0.7669761,0.6071942,0.6672983,0.6988464,0.5892241742857144
Layer_16,0.31540534,0.679779,0.9777913,1.6164329,0.7565926,1.1103108,0.83398163,0.8986133671428572
Layer_17,0.42291376,0.8979979,1.2057517,1.2643006,0.82257956,0.977002,0.89867085,0.92703091
Layer_18,0.52110255,1.0615819,1.2502726,1.2385354,0.816567,0.8700612,1.2308166,0.9984196071428572
Layer_19,0.7027291,1.6135794,1.7244536,2.7553833,0.89304674,1.0437741,1.2764869,1.429921877142857
Layer_20,1.1399453,2.033124,2.0343826,3.158533,1.2263013,0.7716023,1.7068605,1.7243927142857138
Layer_21,1.7707542,3.130827,2.517695,3.7234082,1.1851953,0.6802607,2.0013456,2.144212285714286
Layer_22,2.2598548,3.2710383,3.3251143,4.0917244,2.8401256,0.7114222,2.248421,2.678242942857143
Layer_23,1.9347479,3.6344802,4.6738734,4.500705,2.4914646,0.81970054,3.238666,3.0419482342857136
Layer_24,2.3734114,3.7205393,4.9648595,5.410241,2.404461,0.8988527,2.9238071,3.242310285714286
Layer_25,2.2869663,4.0198913,5.4762874,6.1025443,3.065403,1.5139364,3.857012,3.760291528571429
Layer_26,2.306617,5.0247626,7.497889,7.0984445,4.092773,2.346506,5.616503,4.8547850142857145
Layer_27,1.8851784,6.1033845,7.812594,6.6256485,6.5547543,2.7660286,6.4729166,5.4600721285714275
Layer_28,1.5404656,8.112063,9.486323,8.59264,6.7372484,3.183792,8.3377285,6.570037214285715
Mean,0.7309081,3.1738303,3.5104313,4.010389,2.3563073,2.8174577,2.7359197,2.7621776285714286
