Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,EOS,Mean
Layer_1,0.0042717396,13.420618,17.409172,17.55971,17.80236,14.338093,16.15551,14.875417,14.558866,14.818282,3.8494854,18.380451,4.6403704,16.749731,12.95673,13.167937835973332
Layer_2,0.39257774,8.988478,9.709949,9.682065,9.010027,6.7882094,9.808026,8.288897,7.373493,7.765761,0.34112176,13.267271,0.33578548,12.250618,6.70045,7.380181958666666
Layer_3,0.0632749,5.857325,6.4072495,6.547979,6.2620516,4.4143996,6.127535,5.5137715,4.6890182,3.566658,0.34687144,6.6646094,0.35683054,5.8170977,4.4388227,4.471566272
Layer_4,0.06211256,3.2214751,3.8375027,3.839323,4.0104866,2.8979113,3.978708,3.931675,2.895937,2.3477647,0.34046358,4.1605263,0.34537083,4.247333,2.9340458,2.8700423646666664
Layer_5,0.0623278,1.534807,2.132815,1.8072844,2.245183,1.4580989,2.1753767,2.2516506,1.7113147,1.6531751,0.40529618,2.019823,0.35234243,1.4717133,1.459164,1.5160248073333336
Layer_6,0.059484884,0.71181506,0.99287546,0.8697239,0.96605444,1.0722114,0.96818805,1.0197645,1.5807805,0.88560534,0.37100106,0.7958056,0.3917877,0.7462051,0.8595878,0.8193927195999998
Layer_7,0.05758354,0.5529684,0.7855628,0.7456593,0.7715652,0.900424,0.7066993,0.7587516,0.9708727,0.80379045,0.3858866,0.7400552,0.4241438,0.7186742,0.77663493,0.6732848013333333
Layer_8,0.061115373,0.4659033,0.72233945,0.6942295,0.752955,0.99038696,0.6673949,0.6521801,0.7509034,0.78173745,0.41109204,0.67267513,0.468643,0.65196943,0.6889485,0.6288315688666667
Layer_9,0.0697616,0.48308784,0.74155444,0.6914096,0.732654,1.0364621,0.6597554,0.6384321,0.68695235,0.77675956,0.44413954,0.6338954,0.4966378,0.64806545,0.70132387,0.6293927366666667
Layer_10,0.072179705,0.4726024,0.734663,0.6954293,0.73402405,1.0412363,0.6742147,0.64970404,0.6953377,0.7717119,0.4368574,0.660064,0.5158589,0.6286577,0.6919851,0.6316350796666667
Layer_11,0.091409855,0.457567,0.7180607,0.67994356,0.7066301,0.99400574,0.67860615,0.6550937,0.70121765,0.71702546,0.4478528,0.6098088,0.52555525,0.62698615,0.6750856,0.6189899009999998
Layer_12,0.09399367,0.4677946,0.67924976,0.65872383,0.6821095,0.9881983,0.647297,0.65373147,0.6714924,0.69509757,0.45609367,0.61216265,0.49819204,0.63397014,0.6467656,0.6056581466666666
Layer_13,0.13082,0.54407984,0.6978995,0.67744356,0.69252944,0.9885786,0.6711317,0.66824394,0.7052336,0.700184,0.47787657,0.6268909,0.5266921,0.63396937,0.6539901,0.6263708813333332
Layer_14,0.14989617,0.6266649,0.7074191,0.72005534,0.71991515,1.0709018,0.6889713,0.6850759,0.6936965,0.68678653,0.44209582,0.64159566,0.5539968,0.659279,0.64057916,0.6457952753333331
Layer_15,0.3095807,0.893383,0.81635153,0.81628036,0.8508352,1.1030155,0.886947,0.87495995,0.780273,0.6344265,0.46000874,0.5865508,0.5455302,0.62416965,0.732626,0.7276625419999999
Layer_16,0.44014427,1.1259097,0.90884763,1.0644503,1.1013604,1.4146533,1.1768775,0.8194318,1.1720505,0.6284671,0.48298907,0.58010286,0.5798998,0.7443315,0.76491135,0.8669618053333333
Layer_17,0.4987767,1.291133,0.9994745,1.470833,1.1383653,1.510062,1.3027011,0.9891501,2.004602,0.67732847,0.64441925,0.54705894,0.7505605,0.8488358,0.7996333,1.0315289306666668
Layer_18,0.66567415,1.6388762,1.5165517,2.1180065,1.7250211,2.13451,1.8979789,1.3025293,2.3708732,0.742803,1.5125302,1.4414655,0.8207599,0.9034842,1.0403019,1.4554243833333333
Layer_19,1.0813587,1.9220082,2.1289127,2.683009,2.027064,3.1871095,2.3477511,1.6997869,3.1788466,1.6334231,0.6640697,2.379558,1.6414634,0.9701076,1.1334299,1.911859893333333
Layer_20,1.8092246,2.2731996,2.7459216,2.9384148,2.4579854,3.487677,2.5237384,2.2845953,3.469086,1.6608624,0.6912558,1.2598424,1.4499578,1.939292,1.2156177,2.147111386666667
