Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,EOS,Mean
Layer_1,0.0025713977,11.003671,18.635363,14.74313,17.380642,18.00034,20.630953,18.50138,16.924692,18.406546,17.825346,19.29252,13.353046,15.746169261361539
Layer_2,0.23442486,7.37735,11.103483,8.303904,9.549107,9.941064,12.598363,10.850278,9.890737,11.780068,8.509292,12.538114,6.2711654,9.149796173846154
Layer_3,0.026791079,4.980369,6.724801,5.423455,6.3380327,6.0654216,8.955307,6.156607,6.6565733,7.6974425,5.2467165,9.611872,4.1604447,6.003371798384616
Layer_4,0.034658723,1.923243,2.598656,2.6187894,3.0584695,3.0527916,5.5835395,3.3040257,4.275782,4.7107663,3.740244,6.958522,2.6341393,3.4225866940769234
Layer_5,0.039232884,0.7815973,1.0925803,1.2012333,1.2779975,1.7015735,2.8824883,1.608722,2.149064,1.7698973,2.0247576,2.4196913,1.3773394,1.563551898769231
Layer_6,0.04151013,0.45746568,0.66217554,0.72474277,0.7169124,0.91931313,0.9816363,1.0246326,1.2691212,1.0062455,0.86892766,0.8089609,0.823031,0.7926672930769231
Layer_7,0.03962991,0.4287976,0.6128633,0.67822206,0.6708247,0.81684726,0.83992356,0.81858283,1.0753822,0.7616957,0.7306612,0.7894278,0.77238905,0.6950190130769229
Layer_8,0.043489255,0.39179048,0.59059846,0.624839,0.64693856,0.76901364,0.7901723,0.77261907,1.0027733,0.7503164,0.78917044,0.7643713,0.72623605,0.6663329426923077
Layer_9,0.051832277,0.43964088,0.6087294,0.6466295,0.65606683,0.78088886,0.7786196,0.7529471,1.1634398,0.749451,0.77216417,0.75518316,0.74371576,0.6845621797692308
Layer_10,0.05941209,0.44970435,0.62480557,0.631444,0.68692416,0.7564943,0.78721184,0.74182814,1.0584066,0.8026592,0.79261416,0.75156546,0.7537077,0.6843675053846153
Layer_11,0.07084617,0.47678939,0.64328176,0.644706,0.6781394,0.7461478,0.78651994,0.7391258,1.1234049,0.7643866,0.77973133,0.7718829,0.75881225,0.6910595569230769
Layer_12,0.079439685,0.49782494,0.6158652,0.6489761,0.65933347,0.76971924,0.77826184,0.7695416,1.0704747,0.7270577,0.72838306,0.8019618,0.7404183,0.6836352026923076
Layer_13,0.12577881,0.57975906,0.65405667,0.66716063,0.6760501,0.7526795,0.78148687,0.78265697,1.0147117,0.7323746,0.7134517,0.8760256,0.7685898,0.7019063084615385
Layer_14,0.1587502,0.65157163,0.68735427,0.67323005,0.71983486,0.869659,0.844766,1.0001918,1.0334456,0.72214556,0.74710876,1.045611,0.7701108,0.763367656153846
Layer_15,0.33479086,0.7631894,0.84192854,0.7217514,0.9497732,1.3212701,0.9539127,1.6185238,1.5042127,0.78740615,0.82859373,1.2100494,0.8745733,0.9776904061538462
Layer_16,0.512409,0.94647354,0.79379976,0.79464924,0.9984619,1.1722295,1.0330652,1.6068016,1.3861382,0.73078156,0.9333952,1.5047808,0.95021236,1.027938296923077
Layer_17,0.57614297,1.0830557,0.9901206,0.94602275,1.6162685,1.5801463,1.3945465,3.2433052,1.3975601,1.0497313,1.7585573,1.5898523,1.0974084,1.4094398399999999
Layer_18,0.94618964,2.172956,1.1111571,1.7165065,4.56656,4.089863,1.9901791,3.329411,1.5970101,1.3543049,1.7836987,1.918798,1.143561,2.132322695384615
Layer_19,0.998538,2.5662172,1.6628222,2.9981122,4.423636,4.37314,3.4829772,3.4741294,2.0835547,1.8861865,2.0464072,3.346174,1.4995834,2.6801136923076925
Layer_20,1.2187248,3.3653607,1.9924717,3.4100235,4.940355,5.746682,4.4422717,4.147286,2.2368252,3.1072848,3.692174,3.1004524,1.7797227,3.3215103461538464
Layer_21,1.7754948,3.4302375,4.2492256,3.982628,5.151989,6.1582375,5.008627,4.1902647,2.4414413,3.9555333,3.9234655,3.867218,2.1067586,3.8647016000000005
Layer_22,2.0778751,4.128089,4.093571,4.988095,5.484831,6.602535,6.0780663,4.702819,3.6234634,4.8387723,5.3740134,3.5671902,2.6726375,4.4793814
Layer_23,2.0903466,4.8649473,4.8561378,5.332325,5.839317,6.8382664,6.397865,4.812085,4.324893,5.124579,5.564104,4.6672945,3.125858,4.910616815384616
Layer_24,2.1598709,4.8827214,5.0423794,5.8629074,6.3857327,7.0616856,6.0747705,4.959249,4.820755,5.470817,5.9882455,5.022801,3.2465096,5.1521880769230775
Layer_25,2.4302769,5.0875015,5.2881246,6.853746,6.306269,8.104428,7.073663,5.751074,5.841377,5.454519,7.443621,7.361182,4.5794334,5.967324261538462
Layer_26,2.482247,5.4054832,5.754934,6.308828,7.13753,7.2931156,7.622338,6.2666984,6.534127,7.5037193,8.173043,9.410924,5.81128,6.592635961538462
Layer_27,2.3459878,5.5222754,7.950033,6.3377852,6.878879,7.640464,6.885249,6.4134607,7.263686,8.142535,9.106212,10.461885,7.002204,7.0731273923076925
Layer_28,1.7443187,6.800043,8.313774,7.691675,7.0813556,7.425054,7.213767,6.4458947,9.132003,10.652341,9.183679,11.480065,9.474187,7.895242846153845
Mean,0.8107707,2.9092185,3.5283964,3.4348397,3.9812932,4.333895,4.416805,3.8851483,3.7105377,3.9799848,3.9309914,4.5248,2.8577526,3.5618794846153845
