Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,EOS,Mean
Layer_1,0.0025648507,13.7151575,15.570999,17.130642,16.6043,21.095648,23.965069,25.710997,25.308163,10.103197,16.92067373507
Layer_2,0.2715386,9.765135,8.826084,10.088945,10.59757,12.772207,14.122675,18.686834,13.448404,3.6206841,10.220007670000001
Layer_3,0.03267556,6.3318405,5.560214,6.378612,6.8004174,8.004111,9.865433,12.287867,8.821653,2.49661,6.657943346000001
Layer_4,0.038049143,3.0872757,3.1726027,3.3835182,4.056984,4.513092,5.494775,7.180732,6.666741,1.7712679,3.9365037643000003
Layer_5,0.041399978,0.9646447,1.0361745,1.4068266,1.4796058,1.9975761,2.5062857,2.2343183,2.8387313,1.1721668,1.5677729778
Layer_6,0.0430404,0.3988088,0.487932,0.70530236,0.8384537,0.978505,0.855758,0.9955823,0.9573623,0.7634202,0.7024165059999998
Layer_7,0.04115649,0.3388865,0.41784227,0.5656914,0.59092706,0.700173,0.7477411,0.7441084,0.825305,0.7276461,0.569947732
Layer_8,0.04554355,0.29623544,0.4140271,0.5478896,0.58076113,0.66742957,0.750126,0.76469386,0.81442696,0.63472116,0.551585437
Layer_9,0.053577267,0.33482683,0.42923236,0.55930054,0.57143253,0.6365627,0.7125746,0.70790464,0.818083,0.6852832,0.5508777667
Layer_10,0.059992325,0.3457829,0.43018362,0.5583947,0.5972601,0.6414623,0.6643472,0.7207868,0.7981547,0.6966191,0.5512983745000001
Layer_11,0.070083335,0.3219552,0.41012797,0.54963803,0.58631754,0.61106384,0.71665347,0.7526684,0.81701255,0.65179026,0.5487310595
Layer_12,0.0778531,0.339921,0.4177353,0.53928965,0.56819516,0.6310307,0.7014727,0.71811086,0.83448803,0.62678427,0.545488077
Layer_13,0.12600335,0.36793646,0.43660197,0.5946722,0.561243,0.6517913,0.69492674,0.70215344,0.864956,0.65478104,0.56550655
Layer_14,0.15072478,0.38283718,0.44474146,0.6776652,0.5606136,0.6364432,0.7301142,0.7048053,0.85953623,0.7400043,0.588748545
Layer_15,0.23869789,0.45130485,0.4577794,0.68617237,0.5647684,0.7211373,0.72315943,0.72845274,0.86767566,0.8511772,0.629032524
Layer_16,0.25878793,0.48106495,0.45879078,0.6559059,0.53778315,0.72113913,0.71991265,0.74820995,1.0120665,0.78060246,0.63742634
Layer_17,0.2706184,0.54519665,0.49165407,0.774475,0.5481668,0.80112684,0.775538,0.78314495,1.0205623,0.8698789,0.6880361909999999
Layer_18,0.22854817,0.5359671,0.5271237,0.8863245,0.6180919,0.8459831,0.9118218,0.90270936,1.6167586,0.7774964,0.785082463
Layer_19,0.30950844,0.6919437,0.82025665,1.1014814,0.67808765,0.95054203,1.2987084,1.1294233,2.635011,0.95216656,1.056712913
Layer_20,0.31286654,0.7449074,1.2321432,1.22101,0.8049172,1.1154568,1.0209715,2.7329342,2.6342006,0.8398262,1.2659233639999998
Layer_21,0.60276604,0.73847365,1.7111552,1.9848508,1.2310997,1.9561204,1.630157,4.0187488,4.2562523,1.1206393,1.925026319
Layer_22,0.84984034,1.1002867,1.9149346,2.887538,2.2662287,3.3527257,1.151717,5.2248397,6.88749,1.7649835,2.740058424
Layer_23,1.0687191,1.1943277,2.18793,3.8639064,2.5659375,4.17746,3.3684206,11.345427,6.2993536,1.8870242,3.79585061
Layer_24,0.9694824,1.4895743,2.626929,3.808937,3.057712,4.2316284,4.4483137,9.550512,6.0194445,2.355056,3.8557589299999995
Layer_25,1.1026644,2.550912,3.769432,4.5475254,3.6063097,4.965784,7.9995675,9.577024,6.404481,3.7626042,4.82863042
Layer_26,1.2240318,3.2264433,4.1669445,5.1566305,3.7253852,6.564952,5.8479385,9.482874,7.724886,4.900464,5.20205498
Layer_27,1.2682602,4.9147606,4.4845448,6.0042276,5.292733,7.7872534,5.67698,10.003024,5.819345,6.176721,5.74278496
Layer_28,1.0949409,6.6531644,5.58975,6.748685,7.640599,8.748564,6.706328,11.15771,5.6344066,8.127975,6.810212290000001
Mean,0.38764054,2.2253418,2.4462097,3.0005023,2.790425,3.6241775,3.7431245,5.367736,4.410891,2.1611283,3.015717664
