Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,EOS,Mean
Layer_1,0.0022409072,5.271767,6.477576,7.877332,5.110649,4.688005,5.245047,7.2068644,12.850742,18.766375,11.852645,7.759022118836362
Layer_2,0.19960652,3.7763827,3.2621002,4.833958,2.5349097,2.5840428,2.6766958,4.2088203,7.0272613,11.116508,5.3429923,4.32393432909091
Layer_3,0.022656098,2.7563674,2.328998,3.0792694,1.6836246,1.4665439,1.5572419,2.7514055,5.04957,6.331278,2.9968607,2.729437772545454
Layer_4,0.02951248,1.7100052,1.6400943,1.9166266,0.79917157,0.70737565,0.8231723,1.4623072,2.977425,2.527906,1.8352914,1.4935352454545454
Layer_5,0.034638118,0.9065047,0.9506304,1.1146362,0.6483046,0.5195133,0.38238883,0.9923663,1.0796522,1.3395038,0.9772157,0.8132140134545455
Layer_6,0.03614973,0.4249014,0.34728354,0.5079784,0.33086437,0.35891527,0.2347699,0.4807685,0.6884259,0.71734667,0.71885085,0.4405685936363636
Layer_7,0.03543272,0.2822663,0.31673768,0.39892516,0.2962281,0.35841364,0.22177763,0.36917514,0.61020577,0.7113832,0.66492945,0.3877704354545454
Layer_8,0.03998986,0.2278909,0.32154247,0.39863506,0.3137936,0.36459285,0.23979075,0.39482555,0.6247715,0.70438075,0.6084741,0.3853352172727273
Layer_9,0.049456764,0.25399777,0.34359786,0.4281389,0.35961145,0.41092634,0.25898162,0.4071967,0.62864363,0.6982361,0.65086854,0.4081505158181818
Layer_10,0.057392236,0.2838034,0.36405054,0.43318677,0.3967792,0.41801453,0.2806279,0.43858522,0.65301824,0.7747475,0.6552441,0.4323136032727273
Layer_11,0.06744784,0.27029023,0.3701201,0.46153468,0.41749644,0.40715855,0.2934157,0.4958306,0.625901,0.7762072,0.6260619,0.43740584000000005
Layer_12,0.073903255,0.27602065,0.3664705,0.46985388,0.42589417,0.39680067,0.32392102,0.49936494,0.592556,0.72558343,0.6005644,0.43190299227272727
Layer_13,0.116689384,0.334741,0.4256487,0.5274988,0.48469678,0.43420076,0.35603237,0.5072179,0.5939342,0.6786339,0.6052079,0.46040924490909096
Layer_14,0.14906107,0.5266074,0.4902578,0.5511177,0.51197696,0.47396216,0.3760712,0.7351268,0.53835607,0.6782197,0.6114159,0.5129247963636363
Layer_15,0.50298107,0.6811829,0.56258565,0.5647567,0.62834144,0.6770913,0.51893544,1.4307548,0.5490818,0.66559887,0.6577017,0.6762737881818182
Layer_16,0.60783666,1.0444386,0.5868572,0.6054079,0.6342044,0.5219671,0.4936514,1.579204,0.55148625,0.6958405,0.6694857,0.7263981554545454
Layer_17,0.62905365,0.7757494,0.7019913,0.71979386,0.7035662,0.7135701,0.8756209,2.002809,0.59654576,0.86786556,0.7633555,0.8499928390909091
Layer_18,0.5535287,0.66014904,0.70336837,0.88617045,1.0919783,0.73509085,1.2875657,2.1715536,0.76307034,0.7479306,0.9473665,0.9588884045454545
Layer_19,0.6176449,0.76942194,1.1936318,1.267251,1.2519617,1.2397478,1.8366557,3.1243663,1.4966154,1.1989812,1.1707773,1.3788231854545454
Layer_20,0.42940474,1.0697337,1.4166464,1.5974027,1.4987662,1.5006377,1.5870632,2.936186,1.8531357,2.6310844,1.3075088,1.62068814
Layer_21,0.69306237,1.272835,1.5732614,1.7570142,2.168496,2.2689266,2.2055979,3.3545647,3.6036136,2.9136672,1.5702068,2.125567797272727
Layer_22,0.99375916,1.2993677,1.8292943,2.3351076,2.260429,2.2876458,2.3534286,4.201186,3.6554205,2.6842623,1.6774179,2.325210805454546
Layer_23,0.95433414,1.2419198,1.9660684,2.5009913,2.5932012,2.3589444,2.3937504,4.097589,4.188461,3.4208348,1.9944738,2.5191425672727275
Layer_24,0.86893386,1.0850648,1.8358471,2.5877192,2.505804,2.5759068,2.437335,3.7432969,5.1197042,4.344204,2.7459278,2.7136130600000006
Layer_25,0.8897757,1.4954909,2.3083029,2.9383774,2.767494,2.8275836,2.447645,3.914337,4.357178,6.1532607,3.9305582,3.093636672727273
Layer_26,1.1812125,2.0651364,2.2936819,3.3624501,2.661177,3.0911212,2.9082432,5.260272,3.6483202,6.7372007,4.9922323,3.4728225
Layer_27,0.92266035,2.0209217,2.2680347,3.233288,2.3436449,2.752428,2.6097238,4.247581,3.1746838,7.2067814,5.696057,3.315982240909091
Layer_28,0.6328785,2.4502385,2.3452003,3.3746858,2.381016,2.7200205,2.911906,3.8224711,3.025627,7.504899,7.2574625,3.4933095636363642
Mean,0.40683007,1.2583284,1.4139243,1.8117539,1.4215742,1.4235408,1.4334663,2.387001,2.5401218,3.368525,2.2902558,1.7959383245454548
